# verdadeiro, estimado, distancia
30, 2.33429, 0.00196271
30, 89.4813, 0.000981354
90, 91.0375, 0.000981354
-60, -84.5533, 0
30, -3.63112, 0.000981354
60, 28.7896, 0.000981354
60, 65.6196, 0.000981354
30, -8.29971, 0
60, 33.7176, 0
90, 86.8876, 0.000981354
-30, -39.683, 0.00196271
30, 7.00288, 0
-60, -93.6311, 0.000981354
0, -3.37176, 0.00294406
-60, -88.4438, 0.00196271
-90, -28.7896, 0.00196271
-60, -45.6484, 0.000981354
90, 39.1643, 0
0, -7.26225, 0.000981354
-60, -91.2968, 0.000981354
60, 63.804, 0.000981354
-90, -43.8329, 0.000981354
-30, -47.9827, 0.000981354
-90, 3.11239, 0.00196271
0, -32.6801, 0
0, -1.5562, 0
60, 70.8069, 0.00196271
90, 98.2997, 0.000981354
-90, -39.1643, 0.000981354
90, 27.2334, 0.000981354
60, 46.1671, 0.00196271
0, -14.2651, 0.00196271
30, 55.7637, 0
-90, -46.4265, 0
-30, -37.6081, 0.000981354
-60, -82.7378, 0.00196271
-30, 2.07493, 0.00294406
30, -26.4553, 0.00196271
-30, -15.8213, 0.000981354
-30, -85.3314, 0.00196271
0, -59.9135, 0.000981354
90, 101.412, 0.00196271
60, 97.2622, 0.00294406
90, 102.968, 0.00294406
-60, -90.2594, 0.000981354
-90, -58.8761, 0.00196271
0, -51.6138, 0.00196271
-30, -49.0202, 0
-90, -93.1124, 0
