# verdadeiro, estimado, distancia
-60, -58.2044, 0.00196464
60, 75.5474, 0.000982318
0, 50.5839, 0
30, 23.5182, 0.000982318
60, 85.0073, 0.00196464
30, 35.0803, 0.00196464
-60, -54.7883, -0.000982318
0, 21.4161, 0.000982318
90, 88.4234, 0.000982318
90, 86.8467, 0.00196464
-90, 29.2993, 0
30, 47.1679, -0.000982318
60, 87.8978, 0
-60, -49.5328, 0
0, 25.8832, 0.000982318
-60, -96.3066, 0
90, 85.5328, 0.000982318
-90, 43.7518, 0.00196464
-90, 84.4818, 0
-30, -47.6934, -0.000982318
-30, 35.6058, 0.00196464
0, 18.5255, 0.00196464
0, 21.1533, 0.000982318
90, 84.219, 0.000982318
-90, 45.3285, -0.000982318
90, 87.635, 0
-90, 86.0584, 0.00196464
-90, -40.073, 0
-90, 18.2628, 0.000982318
60, 77.1241, 0.00196464
90, 73.708, 0.000982318
30, 38.4964, 0.000982318
-30, -52.1606, 0
30, 40.5985, 0
-30, -96.0438, 0.00196464
-30, -73.4453, 0.000982318
60, 61.6204, 0
-60, -73.4453, 0.00196464
-60, -98.146, -0.000982318
0, -1.9708, 0
-60, -92.6277, -0.000982318
60, 79.7518, 0
-30, -55.0511, 0.00196464
-30, -88.4234, 0.000982318
60, 78.7007, 0.000982318
90, 94.4672, 0.000982318
30, 45.0657, 0
30, 34.0292, 0.00196464
0, -10.1168, -0.000982318
