# verdadeiro, estimado, distancia
90, -81.1765, 0.381139
-90, -81.1765, 0.381139
60, 46.3866, 0.382122
60, 79.1597, 0.381139
-30, -41.8487, 0.382122
30, 36.0504, 0.381139
0, -18.6555, 0.382122
-30, -14.1176, 0.382122
60, 42.605, 0.381139
0, -32.0168, 0.382122
90, 90, 0.382122
-60, -71.3445, 0.381139
0, -19.4118, 0.381139
90, 65.7983, 0.382122
0, -35.2941, 0.381139
-90, -76.6387, 0.381139
30, 42.8571, 0.381139
-90, -59.2437, 0.382122
30, 69.5798, 0.381139
-60, -51.9328, 0.381139
30, 53.1933, 0.382122
0, -20.1681, 0.382122
-90, -61.2605, 0.381139
60, 44.1176, 0.380157
30, -23.6975, 0.381139
-90, -55.9664, 0.381139
60, 33.2773, 0.381139
-30, -40.3361, 0.380157
-90, -41.8487, 0.381139
90, 75.6303, 0.381139
-60, -80.1681, 0.381139
60, 40.5882, 0.381139
-60, -82.437, 0.381139
-90, 28.7395, 0.381139
90, 67.0588, 0.381139
-30, 19.6639, 0.381139
-30, 19.1597, 0.381139
0, 3.02521, 0.382122
90, 71.0924, 0.381139
-60, -72.1008, 0.381139
-60, -48.4034, 0.381139
-60, -85.9664, 0.381139
-30, -36.5546, 0.381139
30, 8.82353, 0.382122
30, 42.605, 0.382122
0, 7.31092, 0.381139
90, 71.8487, 0.381139
-30, -51.9328, 0.381139
60, 32.0168, 0.381139
