# verdadeiro, estimado, distancia, estimulo, filtro
30, 47.0112, -0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -65.6145, -0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_-60.wav, None
-60, -65.6145, -0.00294695, Boris2025dez17_chiado_300_3000_silencio_75db_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -47.2626, 0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 26.648, 0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_15.wav, None
-90, -56.3128, -0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_-90.wav, None
-75, -56.5642, -0.00294695, Boris2025dez17_chiado_300_3000_silencio_75db_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -38.2123, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-60.wav, None
-60, -68.6313, -0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 18.6034, -0.00196464, Boris2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -65.3631, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-75.wav, None
75, 66.1173, -0.00196464, Boris2025dez17_chiado_300_3000_silencio_75db_75.wav, None
-75, -63.6034, -0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 42.2346, 0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_45.wav, None
90, 73.6592, -0.00294695, Boris2025dez17_chiado_300_3000_silencio_75db_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -4.77654, -0.00196464, Boris2025dez17_chiado_300_3000_silencio_75db_-15.wav, None
0, 16.8436, -0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -1.50838, -0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_-15.wav, None
-60, -62.8492, -0.00294695, Boris2025dez17_chiado_300_3000_silencio_75db_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -65.3631, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 48.7709, 0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_30.wav, None
75, 75.6704, 0, Boris2025dez17_chiado_300_3000_silencio_75db_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -56.3128, -0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -56.3128, 0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 70.6425, -0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_60.wav, None
15, 86.7318, 0.000982318, Boris2025dez17_chiado_300_3000_silencio_75db_15.wav, None
