# verdadeiro, estimado, distancia, estimulo, filtro
90, 54.5035, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_90.wav, None
75, 61.3007, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_75.wav, None
-30, -47.2028, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -50.7273, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 38.3916, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 73.6364, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_75.wav, None
-75, -47.2028, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 47.2028, -0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -39.6503, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-75.wav, None
-90, -40.1538, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-90.wav, None
-60, -54.7552, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_-60.wav, None
60, 50.4755, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_60.wav, None
-45, -13.972, -0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_-45.wav, None
-90, -58.2797, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -66.0839, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 43.6783, 0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_45.wav, None
90, 68.6014, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_90.wav, None
-90, -35.1189, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_-90.wav, None
45, 44.1818, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -38.8951, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_-75.wav, None
30, 38.8951, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_30.wav, None
-60, -35.3706, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-60.wav, None
30, 70.1119, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_30.wav, None
90, 48.965, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 40.1538, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_15.wav, None
-30, -22.7832, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_-30.wav, None
-15, -27.8182, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-15.wav, None
0, -5.41259, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_0.wav, None
-60, -44.4336, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 31.5944, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_45.wav, None
-15, -21.2727, -0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -2.13986, -0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_-15.wav, None
-15, -27.8182, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 38.1399, -0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_90.wav, None
60, 51.7343, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 50.4755, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -26.3077, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -29.3287, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 36.6294, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_60.wav, None
30, 31.5944, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 23.035, -0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -27.5664, -0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_-75.wav, None
-30, -36.8811, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 31.5944, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_15.wav, None
-90, -46.1958, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -29.5804, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-45.wav, None
-60, -53.2448, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -51.4825, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-90.wav, None
15, 21.021, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 70.6154, -0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -17.2448, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-30.wav, None
15, 27.0629, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_15.wav, None
-15, -0.881119, 0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_-15.wav, None
-75, -37.8881, -0.00197044, Pavao2025dez17_chiado_300_3000_silencio_75db_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -18.5035, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 21.2727, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_0.wav, None
0, -15.7343, -0.000985222, Pavao2025dez17_chiado_300_3000_silencio_75db_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 50.979, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 45.6923, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_45.wav, None
30, 47.2028, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
