# verdadeiro, estimado, distancia, estimulo, filtro
90, 89.7059, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -92.6471, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 6.76471, 0, Boris2025dez17_chiado_300_3000_silencio_75db_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -21.7647, -0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-15.wav, None
75, 61.4706, 0.0029615, Boris2025dez17_chiado_300_3000_silencio_75db_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -76.1765, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-90.wav, None
60, 70.5882, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 66.1765, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 28.5294, 0.0029615, Boris2025dez17_chiado_300_3000_silencio_75db_0.wav, None
-45, -9.11765, -0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, None
60, 76.7647, 0.0029615, Boris2025dez17_chiado_300_3000_silencio_75db_60.wav, None
-30, 5.58824, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 72.3529, -0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 72.0588, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -25.8824, -0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 75, 0, Boris2025dez17_chiado_300_3000_silencio_75db_90.wav, None
-30, 15.5882, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-30.wav, None
-15, 16.1765, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-15.wav, None
-15, 14.7059, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-15.wav, None
-45, -19.1176, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 52.3529, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 28.8235, 0, Boris2025dez17_chiado_300_3000_silencio_75db_0.wav, None
-60, -15.5882, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-60.wav, None
0, 3.82353, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_0.wav, None
30, 13.8235, 0.0029615, Boris2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 27.9412, 0, Boris2025dez17_chiado_300_3000_silencio_75db_0.wav, None
90, 73.5294, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -3.52941, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, None
-75, -49.7059, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -28.2353, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -51.1765, 0.00197433, Boris2025dez17_chiado_300_3000_silencio_75db_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 28.5294, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_15.wav, None
30, 45.5882, 0, Boris2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -19.1176, 0.00197433, Boris2025dez17_chiado_300_3000_silencio_75db_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 80, 0.0029615, Boris2025dez17_chiado_300_3000_silencio_75db_90.wav, None
-15, 33.5294, -0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -2.64706, -0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, 26.1765, 0.00197433, Boris2025dez17_chiado_300_3000_silencio_75db_-30.wav, None
30, 62.9412, -0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_30.wav, None
-30, 42.6471, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-30.wav, None
30, 70.2941, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 60.8824, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_15.wav, None
45, 72.0588, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_45.wav, None
-45, 17.6471, -0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, None
-75, -7.05882, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-75.wav, None
60, 83.8235, 0.00197433, Boris2025dez17_chiado_300_3000_silencio_75db_60.wav, None
-45, 19.7059, 0.0029615, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, 19.1176, 0, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 99.7059, 0.00197433, Boris2025dez17_chiado_300_3000_silencio_75db_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, 18.2353, 0.0029615, Boris2025dez17_chiado_300_3000_silencio_75db_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -22.9412, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 101.176, 0.000987167, Boris2025dez17_chiado_300_3000_silencio_75db_75.wav, None
