# verdadeiro, estimado, distancia, estimulo, filtro
30, 57.9109, 0.000980392, Pavao2025dez17_chiado_300_3000_silencio_75db_30.wav, None
90, 84.7354, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -11.7827, 0.000980392, Pavao2025dez17_chiado_300_3000_silencio_75db_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 59.6657, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_75.wav, None
-60, -30.0836, -0.000980392, Pavao2025dez17_chiado_300_3000_silencio_75db_-60.wav, None
-60, -30.585, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 36.8524, 0.000980392, Pavao2025dez17_chiado_300_3000_silencio_75db_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 16.7967, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_0.wav, None
-60, -18.8022, 0.000980392, Pavao2025dez17_chiado_300_3000_silencio_75db_-60.wav, None
0, 7.0195, 0.000980392, Pavao2025dez17_chiado_300_3000_silencio_75db_0.wav, None
-90, -51.6435, 0.00196078, Pavao2025dez17_chiado_300_3000_silencio_75db_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 61.6713, -0.000980392, Pavao2025dez17_chiado_300_3000_silencio_75db_90.wav, None
-15, -17.2981, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 38.6072, 0.00196078, Pavao2025dez17_chiado_300_3000_silencio_75db_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -27.3259, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_-60.wav, None
-90, -51.1421, 0.000980392, Pavao2025dez17_chiado_300_3000_silencio_75db_-90.wav, None
45, 49.1365, 0.00196078, Pavao2025dez17_chiado_300_3000_silencio_75db_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 67.1866, 0.000980392, Pavao2025dez17_chiado_300_3000_silencio_75db_45.wav, None
60, 68.9415, 0, Pavao2025dez17_chiado_300_3000_silencio_75db_60.wav, None
