# verdadeiro, estimado, distancia, estimulo
50, 43.1542, 0.474045, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_50.wav
-50, -53.8472, 0.247796, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-50.wav
50, 72.942, 0.160627, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_50.wav
-80, 1.14569, 0.00391773, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-80.wav
0, -21.768, 0.772772, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_0.wav
80, 76.2518, 0.161606, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_80.wav
-40, -69.1231, 0.163565, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-40.wav
-20, 8.529, 0.113614, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-20.wav
10, 18.4583, 0.112635, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_10.wav
60, 81.5983, 0.140059, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_60.wav
20, 76.2518, 0.269344, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_20.wav
-40, -77.0156, 0.727718, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-40.wav
80, 64.5403, 0.416259, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_80.wav
-10, 59.9576, 0.561214, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-10.wav
-80, -47.9915, 0.2762, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-80.wav
80, 81.0891, 0.579824, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_80.wav
80, 81.0891, 0.633692, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_80.wav
70, 86.6902, 0.416259, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_70.wav
0, 61.7397, 0.788443, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_0.wav
0, 69.3777, 0.424094, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_0.wav
-50, -71.4144, 0.2762, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-50.wav
-20, -29.9151, 0.703232, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-20.wav
20, 68.8685, 0.324192, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_20.wav
20, 73.9604, 0.387855, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_20.wav
30, 84.1443, 0.22429, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_30.wav
20, 83.8897, 0.208619, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_20.wav
-10, -69.6322, 0.335945, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-10.wav
60, 86.181, 0.423115, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_60.wav
30, 85.9264, 0.479922, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_30.wav
-80, -75.9972, 0.566112, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-80.wav
-60, 63.7765, 0.566112, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-60.wav
20, 25.0778, 0.238981, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_20.wav
-70, -71.1598, 0.316357, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-70.wav
-40, -3.18246, 0.290891, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-40.wav
20, 74.215, 0.677767, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_20.wav
10, 79.0523, 0.769833, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_10.wav
0, 76.2518, 0.510284, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_0.wav
30, 68.1047, 0.580803, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_30.wav
40, 84.6535, 0.384917, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_40.wav
-50, -73.1966, 0.422135, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_-50.wav
-70, -73.9604, 0.290891, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_-70.wav
20, 72.942, 0.256611, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_20.wav
-30, -73.1966, 0.357493, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-30.wav
-50, 2.67327, 0.329089, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-50.wav
0, 73.1966, 0.435847, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_0.wav
-80, 12.6025, 0.429971, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-80.wav
0, 8.529, 0.36239, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_0.wav
40, 72.942, 0.67189, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_40.wav
-60, -66.5771, 0.595495, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-60.wav
-30, 10.5658, 0.437806, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_-30.wav
-10, -19.2221, 0.593536, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-10.wav
-20, -28.3876, 0.761019, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-20.wav
-10, -43.4088, 0.911851, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-10.wav
10, 68.1047, 0.777669, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_10.wav
50, 78.2885, 0.545544, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_50.wav
-70, 42.645, 0.320274, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-70.wav
80, 78.5431, 0.255632, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_80.wav
70, 78.2885, 0.232125, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_70.wav
80, 78.5431, 0.27522, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_80.wav
-70, 8.78359, 0.514202, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-70.wav
40, 83.6351, 0.412341, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_40.wav
-30, -64.7949, 0.394711, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-30.wav
70, 77.7793, 0.580803, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_70.wav
-40, -65.5587, 0.766895, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-40.wav
-60, -85.6719, 0.338883, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-60.wav
-80, -84.9081, 0.338883, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-80.wav
-60, -85.6719, 0.338883, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-60.wav
20, 72.1782, 0.612145, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_20.wav
-70, -77.5248, 0.749265, BiancaNegri_azim_beep250Hz_26out2023_itld_rev_beep500Hz_silencio_-70.wav
-80, -69.8868, 0.669931, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-80.wav
60, 82.1075, 0.717924, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_60.wav
80, 82.3621, 0.714985, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_80.wav
-60, 48.5007, 0.475024, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-60.wav
60, 73.9604, 0.43095, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_60.wav
-40, -69.6322, 0.399608, BiancaNegri_azim_beep250Hz_26out2023_beep500Hz_silencio_-40.wav
-30, 7.51061, 0.678746, BiancaNegri_azim_beep250Hz_26out2023_ild_beep500Hz_silencio_-30.wav
10, 80.8345, 0.528893, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_10.wav
-30, -8.529, 0.532811, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_-30.wav
70, 74.7242, 0.37904, BiancaNegri_azim_beep250Hz_26out2023_itld_beep500Hz_silencio_70.wav
-70, 24.8232, 0.472086, BiancaNegri_azim_beep250Hz_26out2023_itd_beep500Hz_silencio_-70.wav
