# verdadeiro, estimado, distancia
-80,-8.03077,0.000982318
60,67.0154,0.128684
-80,-90.8308,0.120825
-60,-90.8308,0.00294695
40,37.3846,0.3389
60,20.4923,0.336935
50,6.36923,0.435167
60,34.0615,0.334971
80,35.4462,0.225933
-40,-90.8308,0.330059
-80,-90.8308,0.123772
-40,-90.5538,0.232809
30,37.3846,0.331041
40,14.6769,0.226916
-40,-90.8308,0.329077
-10,-90.8308,0.437132
-20,-90.8308,0.129666
80,73.1077,0.230845
-40,14.6769,0.00392927
-30,-90.8308,0.124754
-20,-90.5538,0.123772
0,-51.7846,0.236739
70,50.4,0.233792
-70,-90.8308,0.126719
-80,-89.7231,0.00196464
-50,-90.5538,0
-10,-89.7231,0.00196464
-50,-51.7846,0.437132
-20,-90.8308,0.230845
20,93.0462,0.449902
70,108.277,0.333988
-20,-90.8308,0.227898
70,94.9846,0.222004
30,41.2615,0.344794
10,32.4,0.344794
-60,-90.8308,0.125737
50,95.2615,0.223969
-50,-90.8308,0.3389
10,20.7692,0.327112
0,21.0462,0.119843
30,21.3231,0
-70,-90.8308,0.00196464
-70,-90.8308,0.000982318
60,38.4923,0.237721
-10,-90.8308,0.121807
-60,-90.8308,0
-80,-89.4462,0.000982318
20,80.8615,0.222986
40,-18.8308,0.11002
0,-19.3846,0.239686
-20,-90.8308,0.128684
-70,-90.8308,0.00589391
50,96.9231,0.00294695
30,110.492,0.00294695
40,110.492,0.131631
10,32.6769,0.329077
-30,-90.8308,0.129666
-60,-90.8308,0.142436
80,80.8615,0.237721
-30,-86.6769,0.128684
60,94.9846,0.116896
-60,-90.8308,0.00294695
20,87.2308,0.00294695
80,98.8615,0.00294695
10,4.70769,0.00196464
-50,-42.3692,0.223969
70,20.2154,0.126719
50,-1.93846,0.12279
0,-48.4615,0.235756
10,-2.21538,0.230845
-70,-90,0.124754
-30,19.1077,0.121807
30,52.3385,0.336935
80,97.2,0.222004
40,106.615,0.12279
-10,-90.2769,0.123772
-10,-90.2769,0.331041
-50,-90,0.325147
20,80.8615,0.428291
70,81.1385,0.334971
50,86.1231,0.238703
-40,-64.5231,0.235756
0,-6.64615,0.130648
-30,-90.8308,0.130648
20,56.2154,0.130648
