# verdadeiro, estimado, distancia
10,70.4587,0.221675
80,95.2294,0.124138
-40,-54.2202,0.334975
-80,-90,0.446305
60,93.3028,0.44532
40,92.7523,0.334975
20,93.3028,0.240394
70,93.0275,0.232512
-20,41.0092,0.229557
-60,-68.2569,0.128079
-80,-88.8991,0.237438
70,93.0275,0.134975
-80,-83.1193,0.238424
0,94.9541,0.235468
80,48.7156,0.235468
-30,-11.8349,0.335961
0,10.1835,0.335961
20,90.8257,0.335961
-50,-90,0.336946
-40,-90,0.226601
50,91.3761,0.228571
-60,-90,0.127094
-20,98.8073,0.127094
-30,-9.63303,0.338916
-50,-90,0.338916
50,95.2294,0.225616
30,95.5046,0.121182
60,95.5046,0.121182
40,95.5046,0.232512
70,95.5046,0.1133
0,11.0092,0.338916
30,48.1651,0.22266
-30,-11.2844,0.230542
-70,-39.9083,0.229557
-40,-90,0.124138
-20,104.037,0.123153
-60,-89.7248,0.123153
-30,-5.77982,0.424631
30,93.3028,0.324138
50,93.3028,0.1133
50,93.0275,-0.00295567
-70,-12.3853,-0.000985222
60,94.4037,0.124138
40,43.211,0.122167
70,43.4862,0.22266
-20,78.9908,0.119212
40,95.2294,0.33202
-60,-90,0.329064
0,36.055,0.225616
-50,-90,0.125123
-10,37.9817,0.224631
-60,-62.4771,0.225616
-10,17.6147,0.22266
50,81.1927,0.22266
80,80.9174,0.134975
70,80.9174,0.233498
10,16.789,0.122167
20,-1.37615,0.327094
-10,-49.2661,0.218719
80,93.3028,0.126108
30,93.0275,0.223645
80,93.0275,0.117241
30,93.0275,0.218719
-50,-9.08257,0.00788177
0,37.7064,0.328079
10,37.4312,0.218719
10,37.7064,0.116256
40,37.9817,0.00197044
-70,-11.2844,0.000985222
-20,17.8899,0.117241
-80,-37.156,0.00394089
-50,-62.4771,0.00295567
20,61.6514,0.00394089
20,43.211,0.00295567
60,18.4404,0.00492611
-70,-9.08257,0.00492611
-40,-28.8991,0.00295567
-70,-42.3853,0.00492611
-30,-52.844,0.00394089
60,-90,0.00591133
-80,-90,0.00492611
10,91.9266,0.121182
-10,91.6514,0.126108
-40,-90,0.125123
-10,72.9358,0.126108
