# verdadeiro, estimado, distancia
-80,-7.55725,-0.000992063
-10,35.5878,0.00198413
-60,-45.2061,0.000992063
50,53.1756,0.00198413
-20,-9.20611,0
-50,-24.0458,0.00198413
30,88.3511,0.000992063
30,53.1756,0.00297619
60,-49.6031,0.183532
-40,-3.98473,0.0952381
40,30.916,0.000992063
10,-0.961832,0.00198413
20,-11.6794,0.00297619
0,-11.1298,0.00297619
-10,9.48092,0.00198413
-30,-33.9389,0.00198413
80,52.0763,0.00297619
-60,-55.6489,0.00198413
70,36.1374,0
-80,-41.9084,0.00297619
0,19.6489,0.00198413
-50,12.5038,0.00198413
30,67.7405,-0.00198413
60,108.962,0.205357
-20,-7.55725,-0.00297619
50,71.5878,0.207341
60,37.2366,0.207341
-50,13.3282,0
80,59.771,0.112103
-40,-24.8702,0
-10,53.1756,0.0982143
50,88.626,-0.00198413
-50,96.5954,0.115079
60,75.9847,0.115079
60,59.4962,0.218254
-80,-4.80916,0.218254
40,91.0992,0.105159
-70,-9.20611,0.0446429
0,-7.55725,0.183532
80,88.0763,0.112103
-70,-8.9313,0.112103
20,36.1374,-0.00198413
-80,-44.1069,0.109127
-20,25.9695,0.110119
30,86.9771,0.110119
-30,-21.0229,-0.00198413
-40,-90,0.111111
-20,1.78626,0.113095
10,-11.9542,0.224206
50,93.8473,-0.00297619
70,-88.9008,-0.00396825
80,83.6794,0.117063
20,83.6794,-0.00198413
-30,-9.20611,-0.00198413
20,47.6794,0.223214
80,105.389,0.117063
-40,-50.7023,0.219246
0,43.0076,0.220238
-70,-8.9313,-0.00198413
-60,-90,0.115079
-30,14.4275,0
70,94.6718,0.112103
-10,94.3969,-0.00198413
40,94.6718,0.117063
30,94.3969,0.218254
50,35.0382,0.213294
-70,-54.2748,0.213294
70,88.0763,0.222222
-60,-89.1756,0.113095
40,84.7786,0.112103
-10,-5.35878,-0.00396825
20,25.4198,0.108135
-60,-90,0.118056
10,30.0916,0.118056
-70,-50.7023,-0.00198413
10,21.0229,0.22123
-20,56.7481,0.325397
-30,-88.3511,0.21627
0,34.7634,-0.00297619
70,86.7023,-0.00297619
-50,-88.9008,0.199405
-80,25.9695,0.123016
10,47.6794,-0.00198413
40,80.9313,0.121032
-40,55.9237,0.229167
