# verdadeiro, estimado, distancia
80,94.0909,0.348381
10,32.4545,0.346418
-60,-90,0.131501
20,63,0.23945
10,29.4545,0.127576
-20,-89.1818,0.127576
50,90.8182,0.00392542
-60,-90,0.00294406
30,93.8182,0.000981354
20,94.0909,0.00196271
-70,-90,0.00294406
70,104.455,0.13052
-50,-90,0.00294406
-30,-10.3636,0.000981354
-70,-89.7273,0
40,92.1818,0.00588813
70,92.4545,0.237488
60,60.2727,0.227674
60,75.5455,0.228656
30,37.6364,0.227674
-10,-23.4545,0.341511
-50,-88.6364,0.125613
-70,-90,0.00294406
-50,-68.1818,0.233562
60,90,0.238469
0,39.5455,0.123651
60,96.8182,0.00294406
-30,-80.4545,0.229637
70,88.9091,0.222767
30,89.1818,0.221786
20,56.1818,0.233562
80,93,0.121688
-60,-89.7273,0.123651
80,71.4545,0.1158
20,29.4545,0.116781
70,29.4545,0.00196271
-80,-90,0.00392542
80,92.1818,0.131501
-80,-66.5455,0.125613
10,53.4545,0.23945
-40,-90,0.33366
-10,14.7273,0.230618
50,96.8182,0.131501
80,94.3636,0.13052
0,25.3636,0.236506
-60,-88.6364,0.238469
10,94.6364,0.121688
-80,-90,0.233562
60,91.0909,0.125613
0,16.6364,0.336605
-60,-89.1818,0.121688
20,97.0909,0.2316
-40,-90,0.127576
-30,-43.0909,0.326791
-20,-9.81818,0.114818
-40,-10.0909,0.00196271
40,89.1818,0.136408
-10,-15.8182,0.0186457
30,85.3636,0.0157017
40,98.4545,0.0176644
-20,-51.8182,0.016683
-30,-90,0.0186457
50,85.0909,0.139352
50,85.0909,0.138371
-80,-90,0.0186457
-70,-90,0.0186457
-10,21.5455,0.2316
0,21,0.335623
-50,-89.7273,0.13052
-50,-90,0.112856
-20,-8.72727,0.238469
70,94.3636,0.238469
40,94.3636,0.234544
-70,-89.1818,0.129539
10,53.4545,0.233562
50,85.0909,0.127576
40,85.0909,0.235525
-20,-90,0.127576
-80,-90,0.0196271
-40,-51.5455,0.235525
-40,-51.8182,0.2316
-30,2.18182,0.230618
0,18.8182,0.230618
-10,19.0909,0.0206084
30,86.4545,0.106968
