# verdadeiro, estimado, distancia, estimulo
-45, -3.87816, 0, Bianca_azim_multiplostons_01nov2023_itd_multiplostons_-45.wav
90, 102.303, 0.396078, Bianca_azim_multiplostons_01nov2023_recording_multiplostons_90.wav
-60, -90.2675, 0.181373, Bianca_azim_multiplostons_01nov2023_itld_multiplostons_-60.wav
60, 94.0119, 0.297059, Bianca_azim_multiplostons_01nov2023_itld_espectro_multiplostons_60.wav
75, 92.9421, 0.407843, Bianca_azim_multiplostons_01nov2023_itd_multiplostons_75.wav
-45, -90.2675, 0.0539216, Bianca_azim_multiplostons_01nov2023_itd_multiplostons_-45.wav
-45, -90.2675, 0.212745, Bianca_azim_multiplostons_01nov2023_recording_multiplostons_-45.wav
60, 94.0119, 0.00196078, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_60.wav
-30, -90.2675, 0.00294118, Bianca_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-30.wav
-45, -90.2675, 0.117647, Bianca_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-45.wav
75, 92.4071, 0.29902, Bianca_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_75.wav
0, -90.2675, 0.105882, Bianca_azim_multiplostons_01nov2023_itld_rev_multiplostons_0.wav
-75, -90.2675, 0.00196078, Bianca_azim_multiplostons_01nov2023_itld_multiplostons_-75.wav
-75, -90.2675, 0.198039, Bianca_azim_multiplostons_01nov2023_recording_multiplostons_-75.wav
-45, -11.9019, 0, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_-45.wav
45, 88.3952, 0.214706, Bianca_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_45.wav
-60, 15.3789, 0.000980392, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_-60.wav
75, 90.2675, 0.214706, Bianca_azim_multiplostons_01nov2023_itld_multiplostons_75.wav
90, 90.2675, 0.32549, Bianca_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_90.wav
90, 62.1842, 0.204902, Bianca_azim_multiplostons_01nov2023_itld_espectro_multiplostons_90.wav
45, 36.7756, 0.202941, Bianca_azim_multiplostons_01nov2023_itld_espectro_multiplostons_45.wav
0, -4.94799, 0.106863, Bianca_azim_multiplostons_01nov2023_itld_espectro_multiplostons_0.wav
-60, -77.9643, 0.315686, Bianca_azim_multiplostons_01nov2023_itd_multiplostons_-60.wav
30, 36.7756, 0.197059, Bianca_azim_multiplostons_01nov2023_itd_multiplostons_30.wav
75, 84.9183, 0.319608, Bianca_azim_multiplostons_01nov2023_itld_espectro_multiplostons_75.wav
-75, -89.1976, 0.517647, Bianca_azim_multiplostons_01nov2023_recording_multiplostons_-75.wav
15, 39.7177, 0.314706, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_15.wav
45, 64.5914, 0.523529, Bianca_azim_multiplostons_01nov2023_recording_multiplostons_45.wav
-75, -90.2675, 0.62451, Bianca_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-75.wav
-75, -55.4978, 0.00392157, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_-75.wav
-45, -89.4651, 0.32451, Bianca_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-45.wav
-30, 31.6939, 0.000980392, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_-30.wav
-15, 41.3224, 0.193137, Bianca_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-15.wav
-60, -90.2675, 0.640196, Bianca_azim_multiplostons_01nov2023_recording_multiplostons_-60.wav
0, 34.3685, 0.708824, Bianca_azim_multiplostons_01nov2023_itld_rev_multiplostons_0.wav
60, 77.4294, 0.210784, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_60.wav
-30, -56.5676, 0.428431, Bianca_azim_multiplostons_01nov2023_itld_rev_multiplostons_-30.wav
75, 86.7905, 0.215686, Bianca_azim_multiplostons_01nov2023_itd_multiplostons_75.wav
-15, 36.7756, 0.405882, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_-15.wav
-15, -50.951, 0.733333, Bianca_azim_multiplostons_01nov2023_itld_rev_multiplostons_-15.wav
-30, 28.7519, 0.308824, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_-30.wav
15, 86.7905, 0.190196, Bianca_azim_multiplostons_01nov2023_itld_multiplostons_15.wav
15, 93.7444, 0.105882, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_15.wav
-45, -90.2675, 0.32549, Bianca_azim_multiplostons_01nov2023_recording_multiplostons_-45.wav
-30, 37.3105, 0.321569, Bianca_azim_multiplostons_01nov2023_ild_multiplostons_-30.wav
