# verdadeiro, estimado
-40,-70.7843
-80,-83.7255
-70,-82.9412
10,23.3333
60,64.5098
30,68.4314
80,89.6078
70,89.6078
-50,-28.8235
-40,-36.6667
-20,-47.2549
-60,-68.4314
40,44.5098
40,42.549
0,13.5294
80,51.9608
20,43.3333
0,41.3725
70,64.5098
30,66.0784
60,77.0588
0,24.5098
30,50.7843
50,75.8824
30,74.3137
-50,52.3529
20,79.0196
-40,-2.15686
40,64.5098
-10,20.5882
20,50
10,47.6471
-40,-7.2549
-30,-7.2549
-70,-48.8235
-50,-44.5098
-60,-59.8039
70,62.549
-70,-50.3922
-50,5.29412
-10,52.3529
-30,53.5294
-80,-48.0392
10,55.098
-70,-45.6863
80,78.2353
-70,-53.5294
-30,16.6667
0,15.8824
-80,-52.7451
50,78.6275
40,76.6667
50,83.3333
40,82.9412
-60,-50
20,37.8431
-20,1.37255
-30,-12.7451
-80,-39.4118
80,58.6275
-50,-48.4314
10,23.7255
-30,-13.5294
-10,10.7843
60,56.2745
10,53.9216
60,73.5294
70,72.7451
-60,-4.90196
70,76.6667
50,76.6667
-20,7.2549
0,4.90196
-10,9.60784
50,52.3529
30,53.1373
-20,-3.72549
-60,-38.6275
60,64.5098
80,73.1373
-40,-11.1765
20,42.9412
-20,-29.2157
-80,-53.9216
-10,-19.4118
