# verdadeiro, estimado
-20,-6.4557
-60,48.2278
0,80.5063
-80,-53.1646
70,90.3797
-40,11.0127
-30,10.2532
-70,-23.5443
-30,-64.1772
70,88.481
-30,-62.6582
-30,31.8987
-40,-60.7595
-20,-42.1519
60,64.557
-50,-58.481
-40,-59.2405
30,65.6962
-20,-45.5696
80,74.4304
50,74.8101
-50,-16.7089
-80,-66.8354
-10,17.4684
20,24.6835
60,67.9747
10,18.6076
-40,-56.962
-20,10.2532
50,74.4304
-70,-59.2405
20,20.8861
40,53.5443
70,85.0633
-80,-45.5696
50,49.3671
40,50.5063
40,50.1266
0,4.55696
50,48.9873
-30,-23.5443
30,45.9494
-70,-54.6835
-10,-53.1646
30,-52.7848
-10,-18.6076
-40,-22.7848
10,11.7722
-50,-49.3671
-70,-80.1266
-80,-77.0886
-70,-75.9494
-80,-73.2911
30,3.41772
-50,-43.2911
30,8.73418
-20,-26.5823
-60,-67.9747
20,-3.79747
20,-4.55696
70,34.557
10,-12.9114
-60,-61.1392
-10,-2.27848
40,47.0886
50,54.6835
0,1.51899
20,10.2532
60,41.7722
40,39.1139
60,43.2911
70,61.1392
60,63.4177
0,22.4051
-50,-12.9114
0,-12.5316
-60,-41.0127
-10,-3.79747
80,34.1772
-60,-50.8861
10,27.7215
10,26.962
80,64.557
80,72.5316
80,72.1519
