# verdadeiro, estimado
-70,-7.01053
-30,-51.3474
30,61.2
-20,2.08421
-30,2.84211
80,72.1895
0,0.568421
20,47.9368
-30,-45.2842
-20,22.5474
-40,-2.84211
-40,-2.84211
60,72.1895
50,72.5684
-70,-48.3158
20,43.0105
-30,-46.8
-30,-22.5474
-50,-22.5474
70,72.9474
-40,-35.4316
-40,-35.0526
80,57.0316
60,56.2737
80,57.0316
0,-51.7263
-10,-52.8632
0,-52.4842
-20,-52.4842
-50,-79.0105
-80,-88.1053
10,3.6
10,3.6
70,77.8737
0,-24.4421
-50,-53.2421
-20,22.1684
40,73.7053
-70,-89.2421
60,72.1895
20,14.5895
-50,13.8316
10,52.8632
-80,-70.6737
20,31.6421
-60,-59.6842
-40,-60.4421
30,39.6
80,74.8421
-10,-43.3895
-60,22.1684
30,57.4105
-70,-59.6842
-60,-25.5789
80,78.6316
70,77.1158
40,76.7368
20,22.9263
-10,8.14737
70,72.9474
50,72.9474
-50,-14.5895
-10,31.2632
40,60.8211
50,54.3789
-70,-51.7263
40,61.5789
-60,-49.8316
50,52.1053
0,-3.22105
50,55.8947
-10,8.14737
10,8.90526
30,22.1684
-60,-43.7684
40,51.3474
-80,-57.0316
-20,15.3474
70,58.5474
30,57.7895
-80,-68.0211
60,58.5474
-80,-68.0211
10,7.01053
60,60.4421
