# verdadeiro, estimado
-30,4.79744
-80,-77.7186
80,70.8102
-80,68.5075
60,80.7889
-40,-16.6951
-60,32.8145
-10,54.307
-10,68.8913
-80,-72.3454
50,62.3667
20,60.4478
-30,34.3497
-70,-53.5394
60,74.6482
0,22.8358
-20,23.2196
80,81.5565
60,81.1727
-40,-53.1557
-20,44.7122
-70,-70.8102
-30,-12.0896
-40,-12.4733
-10,50.0853
-50,46.6311
70,83.4755
-50,-59.2964
40,70.0426
30,69.6588
50,86.162
-50,21.6844
-30,61.5991
40,85.0107
0,14.7761
0,28.5928
-50,44.3284
10,66.5885
-60,-43.5608
0,43.5608
80,80.4051
-50,-66.2047
-40,10.9382
30,70.4264
60,86.5458
-30,-5.56503
-80,-71.194
10,54.6908
-10,53.9232
60,81.1727
80,86.5458
-70,-70.0426
-70,-68.8913
30,45.4797
50,45.0959
-20,-54.6908
-60,-80.7889
20,44.7122
40,54.307
-20,17.0789
30,17.0789
10,37.0362
70,76.951
20,74.6482
40,74.2644
0,12.0896
-60,-38.1876
-20,24.371
-40,24.371
80,90
70,90
30,86.9296
-60,-31.6631
-10,46.2473
50,86.5458
20,85.0107
10,59.6802
70,86.9296
10,60.064
50,85.0107
70,85.3945
-70,-69.2751
-80,-68.8913
40,48.1663
20,45.8635
