# verdadeiro, estimado, distancia, estimulo
20, 73.5193, 0.189216, Boris_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_20.wav
-30, -75.5794, 0.766667, Boris_azim_beep500Hz_25out2023_beep500Hz_silencio_-30.wav
-40, -75.8369, 0.766667, Boris_azim_beep500Hz_25out2023_beep500Hz_silencio_-40.wav
-80, -90.7725, 0.141176, Boris_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-80.wav
50, 57.5536, 0.143137, Boris_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_50.wav
-30, -88.97, 0.144118, Boris_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-30.wav
30, 59.0987, 0.758824, Boris_azim_beep500Hz_25out2023_beep500Hz_silencio_30.wav
0, 1.93133, 0.758824, Boris_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_0.wav
50, 84.0773, 0, Boris_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_50.wav
-50, -84.0773, 0.000980392, Boris_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-50.wav
20, 43.9056, 0.771569, Boris_azim_beep500Hz_25out2023_beep500Hz_silencio_20.wav
60, 89.485, 0.00196078, Boris_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_60.wav
50, 89.485, 0.00294118, Boris_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_50.wav
0, 89.7425, 0.00294118, Boris_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_0.wav
-50, -90.515, 0.273529, Boris_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-50.wav
-40, -90.7725, 0.00294118, Boris_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-40.wav
70, 90, 0.67451, Boris_azim_beep500Hz_25out2023_beep500Hz_silencio_70.wav
50, 90.2575, 0, Boris_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_50.wav
-80, -88.7124, 0, Boris_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-80.wav
-80, -88.4549, 0.00196078, Boris_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-80.wav
-40, -65.279, 0.320588, Boris_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-40.wav
-40, -63.4764, 0.00196078, Boris_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-40.wav
30, 72.4893, 0.50098, Boris_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_30.wav
-20, 94.6352, 0.00588235, Boris_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-20.wav
-50, -86.3948, 0.441176, Boris_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-50.wav
-80, -85.6223, 0.79902, Boris_azim_beep500Hz_25out2023_beep500Hz_silencio_-80.wav
-60, -86.1373, 0.8, Boris_azim_beep500Hz_25out2023_beep500Hz_silencio_-60.wav
-40, -66.824, 0.801961, Boris_azim_beep500Hz_25out2023_beep500Hz_silencio_-40.wav
-60, -66.0515, 0.584314, Boris_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-60.wav
-70, -88.97, 0.00490196, Boris_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-70.wav
