# verdadeiro, estimado, distancia, estimulo
70, 81.2195, 0.786207, Gabriel_azim_beep500Hz_27out2023_beep500Hz_silencio_70.wav
20, 10.7174, 0.136946, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_20.wav
50, 77.3458, 0.813793, Gabriel_azim_beep500Hz_27out2023_beep500Hz_silencio_50.wav
10, 19.7561, 0.160591, Gabriel_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_10.wav
50, 81.9943, 0.30936, Gabriel_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_50.wav
10, -17.4319, 0.578325, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_10.wav
80, 77.0875, 0.372414, Gabriel_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_80.wav
-80, -75.7963, 0.589163, Gabriel_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-80.wav
-70, -75.7963, 0.31133, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-70.wav
-10, -43.7733, 0.008867, Gabriel_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-10.wav
-60, -83.2855, 0.0679803, Gabriel_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-60.wav
-60, -82.5108, 0.17931, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-60.wav
-50, -83.0273, 0.178325, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-50.wav
0, -30.8608, 0.0847291, Gabriel_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_0.wav
10, 75.7963, 0.155665, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_10.wav
70, 75.7963, 0.282759, Gabriel_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_70.wav
-50, -75.538, 0.416749, Gabriel_azim_beep500Hz_27out2023_beep500Hz_silencio_-50.wav
-60, -75.7963, 0.681773, Gabriel_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-60.wav
70, 95.165, 0.877833, Gabriel_azim_beep500Hz_27out2023_beep500Hz_silencio_70.wav
70, 95.4232, 0.281773, Gabriel_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_70.wav
-30, -65.4663, 0.257143, Gabriel_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-30.wav
-60, -65.4663, 0.110345, Gabriel_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-60.wav
0, -10.7174, 0.00197044, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_0.wav
-70, -64.9498, 0.107389, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-70.wav
-70, -80.9613, 0.189163, Gabriel_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-70.wav
-40, -90.2582, 0.497537, Gabriel_azim_beep500Hz_27out2023_beep500Hz_silencio_-40.wav
60, 84.3185, 0.406897, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_60.wav
-80, -79.1535, 0.0108374, Gabriel_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-80.wav
0, 11.7504, 0.00689655, Gabriel_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_0.wav
-10, -12.0086, 0.119212, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-10.wav
-60, -26.9871, 0.217734, Gabriel_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-60.wav
