# verdadeiro, estimado, distancia, estimulo
80, -21.5493, -0.00197239, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_80.wav
-30, -66.4225, 0.250493, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-30.wav
10, 32.4507, 0.230769, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_10.wav
-20, -88.9859, 0.191321, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_-20.wav
10, 13.1831, 0.209073, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_10.wav
-80, -85.1831, 0.348126, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-80.wav
50, 37.2676, 0.599606, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_50.wav
-40, -42.8451, 0.483235, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_-40.wav
-30, -49.4366, 0.360947, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-30.wav
-80, -74.0282, 0.273176, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-80.wav
70, -7.09859, 0.625247, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_70.wav
-70, -52.2254, 0.626233, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-70.wav
50, 5.32394, 0.523669, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_50.wav
30, -13.4366, 0.675542, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_30.wav
-40, -57.8028, 0.79783, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_-40.wav
40, 17.493, 0.604536, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_40.wav
0, 4.8169, 0.733728, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_0.wav
20, 29.662, 0.941815, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_20.wav
40, 28.6479, 1.00197, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_40.wav
-40, -59.5775, 0.596647, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_-40.wav
-20, -52.2254, 0.472387, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-20.wav
-10, -67.9437, 0.475345, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-10.wav
40, -18.2535, 0.474359, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_40.wav
50, -18.507, 0.707101, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_50.wav
80, 5.07042, 0.446746, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_80.wav
40, 32.7042, 0.395464, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_40.wav
70, 56.2817, 0.303748, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_70.wav
10, 14.4507, 0.50789, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_10.wav
70, 46.9014, 0.704142, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_70.wav
-40, -70.7324, 0.433925, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_-40.wav
-50, -82.6479, 0.747535, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_-50.wav
20, 36, 0.83925, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_20.wav
20, 14.4507, 0.551282, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_20.wav
-30, -68.9577, 0.462525, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_-30.wav
-20, -32.1972, 0.684418, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-20.wav
60, -22.3099, 0.476331, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_60.wav
-30, -48.4225, 0.478304, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-30.wav
50, -33.4648, 0.586785, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_50.wav
20, 24.338, 0.392505, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_20.wav
-10, -37.2676, 0.646943, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_-10.wav
40, -19.5211, 0.428008, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_40.wav
50, -28.3944, 0.218935, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_50.wav
-10, -37.7746, 0.215976, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-10.wav
-80, -59.5775, 0.190335, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-80.wav
-70, -84.169, 0.647929, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_-70.wav
-60, -68.1972, 0.457594, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_-60.wav
-30, -38.5352, 0.366864, Mamedio_azim_beep500Hz_26out2023_ild_beep500Hz_silencio_-30.wav
70, 61.3521, 0.83432, Mamedio_azim_beep500Hz_26out2023_itld_rev_beep500Hz_silencio_70.wav
-80, -103.183, 0.83432, Mamedio_azim_beep500Hz_26out2023_itld_beep500Hz_silencio_-80.wav
-70, -98.6197, 0.00887574, Mamedio_azim_beep500Hz_26out2023_itd_beep500Hz_silencio_-70.wav
20, 48.4225, 0.215976, Mamedio_azim_beep500Hz_26out2023_beep500Hz_silencio_20.wav
