# verdadeiro, estimado
60,87.2368
10,-7.89474
10,75.7895
-80,-56.0526
50,89.6053
10,29.2105
70,72.2368
20,46.1842
-10,-32.7632
-60,-55.6579
20,-73.8158
-70,90
40,83.6842
40,72.6316
-20,89.2105
30,48.9474
-20,-16.1842
-20,30.7895
-20,11.8421
40,61.5789
-30,5.13158
70,87.2368
60,72.2368
10,41.4474
80,63.1579
-70,-50.1316
0,-17.3684
40,54.0789
60,48.9474
30,61.9737
20,43.4211
-30,7.89474
-30,-18.5526
30,16.5789
-70,24.4737
-60,49.3421
-80,-51.3158
50,39.0789
-80,65.9211
-50,80.9211
70,-55.2632
20,41.4474
30,17.7632
50,42.2368
-40,63.9474
-80,58.0263
50,29.2105
70,-57.2368
80,36.7105
-50,61.9737
-10,73.8158
-10,56.8421
0,-56.4474
-50,27.6316
80,49.7368
20,14.6053
-70,-43.4211
-60,7.89474
-40,31.1842
70,61.9737
-20,18.9474
60,42.2368
-50,69.8684
-10,25.6579
-30,-15
80,60
-60,40.6579
30,16.1842
-30,31.9737
0,-43.0263
-40,-59.2105
-40,4.73684
10,40.2632
-40,56.8421
-10,36.7105
-80,-47.7632
50,5.52632
0,22.5
40,54.0789
-60,69.4737
60,42.2368
-50,66.3158
-70,-51.7105
80,31.1842
0,15.7895
