# verdadeiro, estimado
40,-50.9504
70,-69.5455
-10,-21.1983
-50,-49.0909
-70,-66.9421
10,48.719
20,22.314
70,67.314
80,73.6364
60,78.843
-30,-42.0248
60,-56.157
10,-70.6612
60,-59.5041
-80,-71.405
-40,-17.1074
50,5.20661
-40,-52.8099
-20,-65.4545
-60,-72.1488
40,-75.124
0,-79.2149
70,39.7934
80,43.1405
0,-30.8678
80,38.6777
0,-30.124
60,-8.55372
-10,-35.7025
-40,-49.0909
-80,-58.0165
10,-63.2231
30,-29.0083
-50,-68.8017
40,-60.9917
-60,-58.3884
-70,-71.0331
50,-53.1818
-10,-79.5868
-50,-66.1983
60,-64.7107
-70,-79.9587
80,64.3388
40,46.1157
-20,-19.3388
70,-44.6281
-30,-68.0579
-10,-77.3554
-70,-74.3802
20,55.4132
-20,-47.6033
50,-46.8595
-60,-65.0826
-70,-64.7107
-30,-76.9835
0,-50.9504
10,56.157
-20,-9.29752
-40,-27.8926
-80,-42.7686
10,-42.3967
-80,-59.1322
50,-58.7603
50,-18.2231
0,-39.4215
80,59.1322
-50,36.8182
30,-35.3306
30,-46.4876
40,-61.3636
-80,-71.7769
-60,-65.0826
-60,-69.9174
-30,-83.6777
30,-85.9091
20,-79.2149
20,-79.9587
-20,-82.562
-40,-83.3058
20,23.0579
-30,-63.595
-10,-69.9174
70,61.7355
-50,-51.3223
30,-62.4793
