# verdadeiro, estimado, distancia
70,48.253,0.718475
-50,-73.7349,0.660802
40,52.0482,0.688172
70,82.9518,0.713587
10,10.8434,0.699902
-80,-67.7711,0.731183
80,85.3916,0.767351
-60,-57.4699,0.748778
-70,-71.5663,0.770283
10,27.3795,0.769306
-30,-61.2651,0.749756
30,27.3795,0.761486
60,56.3855,0.759531
-20,-25.4819,0.762463
-50,-49.0663,0.817204
-70,-71.2952,0.802542
50,23.3133,0.773216
-10,-9.75904,0.759531
-80,-46.3554,0.783969
-70,-66.6867,0.806452
-60,-65.3313,0.806452
50,36.3253,0.814272
-40,-25.2108,0.805474
80,54.2169,0.820137
-40,-34.9699,0.827957
-80,-60.994,0.828935
60,52.5904,0.829912
0,13.012,0.817204
-30,-42.5602,0.821114
-20,-44.4578,0.83089
30,26.5663,0.844575
-30,-32.8012,0.847507
20,24.1265,0.836755
50,48.253,0.849462
-40,-45.8133,0.848485
-20,-41.4759,0.833822
60,45.8133,0.829912
0,4.06627,0.852395
-30,-46.0843,0.84262
70,39.5783,0.845552
-40,-31.7169,0.815249
30,32.5301,0.826979
40,47.1687,0.869013
-70,-72.1084,0.857283
-50,-40.3916,0.849462
-50,-52.0482,0.870968
20,28.7349,0.859238
40,48.7952,0.882698
-20,-10.5723,0.870968
-80,-43.6446,0.883675
60,47.4398,0.8739
30,55.5723,0.860215
-10,-5.1506,0.848485
70,55.0301,0.880743
-60,-51.506,0.84653
20,11.9277,0.882698
40,33.8855,0.871945
-40,-36.0542,0.85826
20,2.71084,0.876833
10,10.3012,0.856305
-10,-6.50602,0.853372
-60,-45.5422,0.832845
-70,-60.994,0.859238
80,45.2711,0.87781
-10,-10.5723,0.86217
0,8.13253,0.864125
0,2.43976,0.864125
50,59.3675,0.890518
60,71.5663,0.852395
50,85.9337,0.853372
-20,-26.0241,0.855327
10,-3.25301,0.855327
80,59.6386,0.843597
70,66.4157,0.844575
-80,-41.747,0.831867
10,-4.87952,0.85826
20,25.4819,0.840665
-10,-29.5482,0.86217
-30,-39.3072,0.867058
-60,-65.3313,0.888563
-50,-74.8193,0.861193
40,34.4277,0.88172
80,54.2169,0.880743
0,-6.50602,0.88172
30,45.5422,0.8739
