# verdadeiro, estimado, distancia, estimulo
-70, -56.156, 0.0483235, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-70.wav
-70, -54.9025, 0.0483235, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-70.wav
-10, -76.4624, 0.0463511, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-10.wav
-80, -77.9666, 0.0463511, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-80.wav
50, 17.0474, 0.0394477, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_50.wav
-20, -34.8468, 0.0374753, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-20.wav
-30, -51.1421, 0.0394477, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-30.wav
-40, -21.8106, 0.0404339, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-40.wav
-30, -58.663, 0.0384615, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-30.wav
20, 29.3315, 0.835306, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_20.wav
80, 58.1616, 0.820513, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_80.wav
40, -49.6379, 0.00887574, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_40.wav
-70, -81.2256, 0.849112, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-70.wav
20, 41.3649, 0.0236686, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_20.wav
40, 45.1253, 0.0236686, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_40.wav
70, 44.624, 0.0246548, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_70.wav
40, 66.6852, 0.0424063, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_40.wav
20, 48.6351, 0.0414201, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_20.wav
-10, -45.1253, 0.0443787, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-10.wav
0, -61.6713, 0.0433925, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_0.wav
-20, -70.4457, 0.0424063, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-20.wav
80, -39.8607, 0.0424063, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_80.wav
-60, -76.4624, 0.0424063, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-60.wav
30, 34.8468, 0.0443787, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_30.wav
20, 17.7994, 0.0433925, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_20.wav
80, 68.1894, 0.0433925, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_80.wav
10, 69.6936, 0.0433925, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_10.wav
-40, -66.6852, 0.0453649, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-40.wav
-10, -31.337, 0.0433925, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-10.wav
-30, -66.4345, 0.774162, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-30.wav
20, 57.4095, 0.819527, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_20.wav
50, 76.4624, 0, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_50.wav
50, -21.8106, 0.00197239, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_50.wav
30, 36.351, 0.00394477, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_30.wav
-80, -69.9443, 0.00394477, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-80.wav
-10, 29.0808, 0.787968, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-10.wav
-10, 13.0362, 0.000986193, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-10.wav
50, 63.6769, -0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_50.wav
60, 64.1783, 0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_60.wav
60, 72.7019, 0.000986193, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_60.wav
-30, -80.2228, 0.723866, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-30.wav
-80, -7.0195, 0.00394477, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-80.wav
-20, -21.8106, 0.00394477, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-20.wav
70, 57.1588, 0.707101, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_70.wav
40, 38.6072, -0.00295858, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_40.wav
0, -47.6323, -0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_0.wav
30, 57.9109, 0.0128205, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_30.wav
-60, -80.2228, 0.736686, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-60.wav
10, 48.3844, 0.00493097, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_10.wav
-10, -55.1532, 0.00493097, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-10.wav
20, 15.2925, 0.00690335, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_20.wav
-40, -67.4373, 0.00493097, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-40.wav
20, 42.3677, 0.661736, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_20.wav
50, 55.9053, 0.687377, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_50.wav
-80, -76.9638, 0.00394477, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-80.wav
40, 43.8719, 0.00394477, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_40.wav
-70, -79.7214, 0.00493097, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-70.wav
0, -53.3983, -0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_0.wav
-70, -74.7075, -0.000986193, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-70.wav
80, -23.0641, -0.000986193, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_80.wav
20, 37.1031, -0.00197239, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_20.wav
40, 67.1866, 0.68146, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_40.wav
70, 55.6546, 0.00197239, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_70.wav
-10, -19.0529, 0.00197239, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-10.wav
10, -12.2841, 0, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_10.wav
-80, -52.8969, 0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-80.wav
0, -55.4039, 0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_0.wav
20, 33.844, 0, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_20.wav
20, 47.1309, -0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_20.wav
-20, -37.3538, -0.00197239, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-20.wav
-70, -71.6992, -0.00197239, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-70.wav
80, 37.8552, -0.00295858, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_80.wav
50, 56.4067, -0.00295858, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_50.wav
10, 29.0808, -0.00394477, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_10.wav
-70, -32.0891, -0.00295858, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-70.wav
80, 49.1365, -0.00295858, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_80.wav
60, 43.6212, -0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_60.wav
70, 46.6295, 0, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_70.wav
60, 82.4791, 0.725838, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_60.wav
-50, -68.6908, -0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-50.wav
60, 34.8468, -0.00295858, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_60.wav
80, 58.1616, -0.00197239, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_80.wav
-50, -64.9304, 0.813609, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-50.wav
-50, -75.2089, 0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-50.wav
-30, -7.52089, 0.770217, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-30.wav
-60, -75.2089, 0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-60.wav
-30, -35.3482, 0.000986193, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-30.wav
10, 39.3593, 0.768245, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_10.wav
-50, -64.9304, 0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-50.wav
30, 39.3593, -0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_30.wav
10, 39.1086, -0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_10.wav
-20, 33.5933, -0.00197239, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-20.wav
10, 61.922, 0.723866, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_10.wav
80, 45.1253, -0.00394477, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_80.wav
-70, -87.9944, -0.000986193, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-70.wav
10, -50.6407, -0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_10.wav
-70, -69.9443, -0.00394477, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-70.wav
0, -26.3231, -0.00394477, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_0.wav
20, 43.6212, -0.00295858, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_20.wav
10, 25.571, -0.00197239, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_10.wav
-10, -75.4596, -0.00295858, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-10.wav
70, 55.4039, -0.000986193, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_70.wav
40, 70.9471, 0.774162, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_40.wav
-70, -65.4318, -0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-70.wav
30, 43.3705, 0.811637, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_30.wav
40, 68.1894, 0.809665, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_40.wav
70, -43.8719, 0, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_70.wav
-40, -23.0641, 0.774162, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-40.wav
70, -31.8384, 0, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_70.wav
-80, -62.1727, -0.00197239, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-80.wav
30, 46.1281, -0.00295858, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_30.wav
-80, -53.1476, 0, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-80.wav
70, 53.3983, 0.80572, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_70.wav
10, 27.5766, -0.000986193, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_10.wav
-30, 27.8273, -0.000986193, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-30.wav
50, 47.1309, -0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_50.wav
20, 30.0836, -0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_20.wav
0, -17.7994, -0.00295858, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_0.wav
-80, -53.3983, -0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-80.wav
70, 28.3287, -0.000986193, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_70.wav
-50, -74.4568, -0.00295858, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-50.wav
0, -13.2869, -0.00394477, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_0.wav
-70, -61.6713, 0.0374753, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-70.wav
-20, -39.1086, 0.035503, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-20.wav
20, 43.8719, 0.030572, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_20.wav
-10, 15.0418, 0.0147929, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-10.wav
30, 39.3593, 0.0167653, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_30.wav
-60, -39.61, 0.0453649, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-60.wav
30, -20.0557, 0.00788955, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_30.wav
0, 31.8384, 0.766272, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_0.wav
0, -40.1114, -0.00295858, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_0.wav
-50, -67.4373, 0.0157791, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-50.wav
0, -60.1671, 0.0147929, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_0.wav
80, 56.156, 0.739645, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_80.wav
-80, -67.9387, -0.00197239, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-80.wav
-80, -54.6518, -0.00197239, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-80.wav
40, 28.3287, -0.000986193, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_40.wav
30, 63.6769, -0.00295858, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_30.wav
-40, 65.1811, -0.00197239, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-40.wav
-30, 10.2786, 0, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-30.wav
60, 12.0334, -0.00295858, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_60.wav
80, 41.8663, -0.00295858, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_80.wav
-50, 18.0501, -0.00295858, Pavao_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-50.wav
-80, -65.1811, 0.806706, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-80.wav
20, 42.6184, 0.717949, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_20.wav
-40, -63.1755, -0.00197239, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-40.wav
0, -45.8774, -0.00197239, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_0.wav
50, 45.8774, -0.00295858, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_50.wav
-20, 45.8774, -0.00197239, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-20.wav
0, 45.8774, -0.00295858, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_0.wav
70, 45.8774, -0.000986193, Pavao_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_70.wav
80, 56.156, -0.00295858, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_80.wav
-30, -40.3621, -0.00295858, Pavao_azim_beep500Hz_25out2023_beep500Hz_silencio_-30.wav
50, 60.4178, -0.000986193, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_50.wav
-30, -47.1309, -0.00197239, Pavao_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-30.wav
-30, 32.0891, -0.00394477, Pavao_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-30.wav
