# verdadeiro, estimado, distancia, estimulo
75, 43.4436, -0.0119403, Pavao_azim_multiplostons_01nov2023_ild_multiplostons_75.wav
-60, -51.0226, -0.0109453, Pavao_azim_multiplostons_01nov2023_ild_multiplostons_-60.wav
-30, -65.0977, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_-30.wav
45, 27.7444, -0.0129353, Pavao_azim_multiplostons_01nov2023_itd_multiplostons_45.wav
-30, -20.4361, -0.0109453, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_-30.wav
-45, -43.4436, -0.0139303, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_-45.wav
15, 31.8045, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_rev_multiplostons_15.wav
0, 16.1053, -0.0139303, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_0.wav
15, 61.5789, -0.0119403, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_15.wav
-60, -39.6541, -0.0129353, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_-60.wav
90, 65.3684, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_90.wav
30, 45.0677, -0.0149254, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_30.wav
45, 41.0075, -0.0119403, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_45.wav
45, 26.9323, -0.0149254, Pavao_azim_multiplostons_01nov2023_itd_multiplostons_45.wav
-30, -48.3158, -0.0129353, Pavao_azim_multiplostons_01nov2023_itld_rev_multiplostons_-30.wav
-30, -28.8271, -0.0109453, Pavao_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-30.wav
60, 39.1128, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_rev_multiplostons_60.wav
60, 23.9549, -0.0119403, Pavao_azim_multiplostons_01nov2023_itld_rev_multiplostons_60.wav
-60, -30.7218, -0.0129353, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_-60.wav
75, 75.1128, -0.0149254, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_75.wav
60, 28.8271, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_60.wav
0, 30.9925, -0.0149254, Pavao_azim_multiplostons_01nov2023_ild_multiplostons_0.wav
60, 48.8571, -0.0139303, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_60.wav
