# verdadeiro, estimado, distancia, estimulo
75, 84.1198, 0.654563, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_75.wav
-45, -53.7387, 0.654563, Pavao_azim_multiplostons_01nov2023_itld_rev_multiplostons_-45.wav
60, 38.0581, 0.632974, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_60.wav
-30, -57.0054, -0.000981354, Pavao_azim_multiplostons_01nov2023_itd_multiplostons_-30.wav
15, 39.6915, 0.000981354, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_15.wav
-60, -75.6261, 0.00196271, Pavao_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-60.wav
75, 88.0399, 0.000981354, Pavao_azim_multiplostons_01nov2023_itld_espectro_multiplostons_75.wav
-90, -37.078, 0.000981354, Pavao_azim_multiplostons_01nov2023_ild_multiplostons_-90.wav
-15, 23.0309, 0.00294406, Pavao_azim_multiplostons_01nov2023_itd_multiplostons_-15.wav
-90, -65.4991, 0.635918, Pavao_azim_multiplostons_01nov2023_itld_rev_multiplostons_-90.wav
-45, -8.33031, -0.000981354, Pavao_azim_multiplostons_01nov2023_itd_multiplostons_-45.wav
-15, -7.67695, -0.00196271, Pavao_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-15.wav
0, 47.8584, 0.600589, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_0.wav
-15, 19.4374, 0.000981354, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_-15.wav
-90, -88.3666, 0.525025, Pavao_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-90.wav
-45, -51.1252, 0.000981354, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_-45.wav
60, 48.1851, 0.000981354, Pavao_azim_multiplostons_01nov2023_itd_multiplostons_60.wav
-75, -86.0799, 0.603533, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-75.wav
15, 44.9183, 0.60157, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_15.wav
30, 75.9528, 0.60157, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_30.wav
-75, -60.2722, 0, Pavao_azim_multiplostons_01nov2023_itld_multiplostons_-75.wav
0, 9.9637, 0.000981354, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_0.wav
0, -23.0309, 0.000981354, Pavao_azim_multiplostons_01nov2023_ild_multiplostons_0.wav
-90, -54.7187, 0, Pavao_azim_multiplostons_01nov2023_ild_multiplostons_-90.wav
45, 44.265, 0.643768, Pavao_azim_multiplostons_01nov2023_recording_multiplostons_45.wav
-15, 7.67695, 0.00196271, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-15.wav
-45, -93.2668, 0.00294406, Pavao_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-45.wav
-75, -79.873, 0, Pavao_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-75.wav
