# verdadeiro, estimado
-70,28.9565
70,89.6087
-70,90.3913
-80,90
-70,83.7391
-30,77.8696
-80,90.3913
30,56.7391
20,72.3913
20,75.1304
-40,90.3913
-10,75.5217
30,65.7391
-30,90.3913
0,81.7826
60,55.9565
80,48.913
-50,86.8696
-20,67.6957
-30,86.4783
70,33.2609
-20,57.1304
-80,90
0,62.6087
40,51.2609
30,59.8696
70,75.5217
20,56.3478
40,64.1739
60,84.1304
-20,70.0435
-50,81.7826
10,67.6957
-10,73.9565
-50,63.7826
-40,75.5217
-10,57.1304
80,53.2174
20,72
-60,90.3913
50,75.1304
50,66.5217
30,81.7826
30,66.1304
50,85.6957
60,65.7391
-50,90.3913
50,65.7391
-70,90
-60,81.3913
50,58.3043
80,75.913
-60,-50.4783
-50,-18.3913
10,27.7826
-30,-35.2174
-10,-7.43478
0,18.3913
-80,-16.4348
60,35.2174
40,71.6087
60,83.7391
40,90.3913
-40,89.6087
80,64.9565
0,67.6957
-30,86.4783
-60,-79.4348
20,-28.9565
40,23.8696
-40,7.82609
-70,-23.087
10,31.3043
70,82.1739
10,46.5652
10,44.6087
-60,-28.5652
-80,-18.7826
-20,29.7391
-10,54
-20,66.1304
70,90.3913
-40,44.2174
0,42.6522
80,62.2174
