# verdadeiro, estimado
-20,16.4901
-50,39.9338
80,90.7947
-40,26.0265
30,59.0066
30,84.4371
-10,9.7351
30,51.8543
20,65.7616
-50,90.3974
40,72.9139
70,84.0397
10,90
-20,90
-30,90
60,73.3113
-60,90.3974
-60,90.3974
-60,90.7947
-60,90
-20,86.4238
0,69.3377
0,54.2384
0,49.4702
-40,68.9404
20,53.8411
-20,68.543
-30,26.4238
50,64.9669
40,35.5629
-80,90.7947
20,70.9272
40,53.8411
-40,-35.1656
-50,-26.0265
-50,26.4238
-30,73.3113
-40,88.0132
80,77.6821
-70,90
50,77.2848
-10,-10.5298
50,57.4172
-10,10.9272
-70,-23.245
70,90
-80,90
30,74.9007
0,2.58278
80,64.1722
10,22.8477
50,79.2715
70,89.2053
-20,-20.0662
60,43.1126
-60,-17.2848
-10,6.55629
60,81.6556
-50,9.33775
10,41.5232
80,90
60,77.6821
-10,1.78808
-80,-13.3113
-70,7.74834
-30,-6.15894
20,38.3444
40,63.3775
50,69.3377
80,90.7947
30,45.894
70,68.9404
20,47.4834
10,23.245
0,-9.7351
40,7.74834
60,26.8212
70,57.4172
10,24.8344
-30,-13.7086
-40,-1.39073
-70,20.0662
-80,90
-80,81.2583
-70,90.3974
