# verdadeiro, estimado
-70,-45.7759
-40,-7.37069
20,37.2414
-70,-25.9914
-40,1.93966
70,67.8879
20,46.5517
-30,5.81897
-10,-16.2931
50,25.6034
-10,-13.9655
60,27.931
-30,-33.75
-50,-45.7759
-60,-29.8707
50,41.5086
70,74.8707
40,60.1293
0,-3.10345
80,72.5431
-10,6.2069
-70,-60.9052
-80,-72.5431
30,4.26724
20,29.8707
80,41.1207
-60,-35.6897
0,28.7069
-80,-56.25
70,51.5948
80,66.3362
30,77.9741
-60,-32.9741
-20,-12.8017
30,23.2759
40,10.8621
10,-8.92241
10,22.8879
50,26.7672
60,25.9914
10,-23.6638
-40,4.26724
-10,-27.931
-60,-57.0259
60,60.1293
-10,-8.92241
-40,-27.931
-20,4.65517
50,44.2241
60,74.0948
0,-17.8448
40,26.7672
70,76.8103
30,14.3534
-50,-37.2414
-20,-29.8707
20,4.65517
80,88.0603
-40,-13.9655
-60,-53.1466
10,14.7414
-80,-73.7069
70,74.4828
30,23.2759
-80,-64.0086
50,34.5259
-70,-62.4569
10,6.2069
-30,-16.681
40,10.4741
-50,-32.1983
-30,-17.4569
0,5.0431
60,18.2328
0,-21.7241
-20,-0.775862
-80,-50.0431
-30,-7.37069
20,13.1897
-20,-25.2155
80,77.1983
-70,-58.5776
-50,-42.2845
-50,-51.2069
40,32.5862
