# verdadeiro, estimado, distancia
-80,-68.5395,0
40,52.9806,0.347996
-30,-25.3502,0.819159
-50,-62.6379,0.761486
-70,-87.0492,0.575758
0,21.8629,0.747801
70,79.8063,0.622678
-70,-65.8569,0.821114
-30,-22.6677,0.872923
-60,-58.3458,0.675464
40,26.9598,0.781036
70,90,0.485826
-80,-79.538,0.288368
-10,-3.88972,0.741935
70,88.6587,0.388074
0,0.402385,0.681329
-60,-43.8599,0.817204
30,24.2772,0.706745
0,3.88972,0.650049
-40,-41.4456,0.804497
-70,-61.5648,1
10,18.9121,0.775171
10,17.3025,0.777126
20,17.3025,0.775171
-20,-6.57228,0.623656
-30,-24.5455,0.629521
-80,-84.9031,0.345064
30,18.6438,0.434018
60,87.3174,0.595308
-20,-19.7168,0.634409
-50,-30.1788,0.676442
60,89.4635,0.457478
40,28.5693,0.671554
10,10.0596,0.54741
-70,-74.4411,0.42131
-60,-48.9568,0.423265
50,55.6632,0.721408
50,49.225,0.717498
60,77.1237,0.544477
-20,4.69449,0.44868
20,31.2519,0.627566
-20,-6.03577,0.628543
-30,-13.2787,0.628543
0,11.1326,0.628543
20,25.3502,0.628543
-20,-0.134128,0.495601
-40,-25.3502,0.362659
40,24.8137,0.454545
60,71.2221,0.304985
40,41.4456,0.40176
-50,-48.4203,0.749756
20,27.228,0.494624
-10,-5.76751,0.445748
10,19.9851,0.560117
-60,-70.6855,0.348974
70,90,0.681329
-10,-11.6692,0.535679
-40,-27.4963,0.763441
-40,-35.0075,0.804497
-50,-28.5693,0.802542
50,61.8331,0.620723
-80,-74.9776,0.43695
-70,-54.0537,0.611926
70,84.3666,0.500489
-30,-16.766,0.624633
50,51.9076,0.709677
20,21.3264,0.625611
50,55.1267,0.658847
60,52.9806,0.737048
-40,-23.7407,0.735093
30,17.3025,0.519062
30,27.7645,0.519062
-60,-43.5917,0.453568
-80,-78.465,0.377322
30,22.3994,0.518084
-50,-41.4456,0.426197
-10,-6.57228,0.54741
10,15.4247,0.548387
0,4.15797,0.548387
-10,-5.231,0.56305
