# verdadeiro, estimado, distancia
-70,-66.3582,0.845552
80,90,0.845552
-70,-57.7612,0.779081
40,65.0149,0.7087
-40,-41.6418,0.40567
30,36.806,0.474096
60,71.194,0.609971
-40,-49.7015,0.733138
70,81.9403,0.343109
10,-6.98507,0.798631
-40,-51.0448,0.587488
-20,-27.9403,0.641251
50,67.7015,0.583578
-10,-5.91045,0.679374
40,55.6119,0.601173
20,34.3881,0.663734
-70,-69.0448,0.564027
-20,-22.0299,0.622678
0,-6.1791,0.702835
70,84.6269,0.554252
-30,-49.4328,0.788856
0,-7.79104,0.640274
60,81.403,0.486804
60,70.6567,0.608016
-80,-72.2687,0.723363
-80,-76.2985,0.576735
-20,-14.7761,0.537634
-30,-36.5373,0.638319
0,-4.02985,0.418377
10,21.7612,0.369501
0,-8.0597,0.518084
80,83.2836,0.408602
-70,-73.8806,0.44086
-10,-30.3582,0.596285
20,29.2836,0.471163
-30,-38.4179,0.564027
80,86.5075,0.561095
-50,-62.597,0.561095
-60,-76.0299,0.561095
70,81.403,0.638319
-80,-69.8507,0.638319
50,69.3134,0.507331
-60,-69.3134,0.593353
-80,-82.7463,0.621701
80,80.0597,0.531769
50,54.2687,0.629521
50,54.5373,0.723363
60,67.1642,0.735093
20,24.7164,0.57869
30,40.5672,0.512219
-50,-52.1194,0.607038
-50,-45.403,0.659824
10,11.2836,0.445748
40,60.9851,0.341153
-70,-61.2537,0.502444
50,64.7463,0.72434
-80,-63.1343,0.640274
-60,-51.3134,0.642229
30,36,0.511241
40,44.597,0.668622
40,58.8358,0.666667
-10,-12.3582,0.478983
30,50.7761,0.73607
-20,-8.32836,0.261975
20,35.4627,0.432063
10,10.4776,0.281525
-30,-27.1343,0.333333
-10,-13.9701,0.466276
70,88.3881,0.634409
-60,-69.0448,0.663734
-20,-10.4776,0.667644
30,41.3731,0.540567
-60,-74.9552,0.42131
80,90,0.284457
-50,-53.194,0.353861
20,30.0896,0.354839
-40,-42.9851,0.352884
-50,-67.4328,0.787879
0,-8.32836,0.737048
60,83.2836,0.57087
70,66.6269,0.691105
-30,-17.7313,0.471163
10,13.4328,0.260997
-40,-40.5672,0.671554
-10,-18.2687,0.57087
