# verdadeiro, estimado, distancia, estimulo
-20, -53.945, 0.363725, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-20.wav
60, 72.9358, 0.494118, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_60.wav
80, 82.5688, 0.196078, Sandro_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_80.wav
-70, -72.3853, 0.614706, Sandro_azim_beep500Hz_25out2023_beep500Hz_silencio_-70.wav
-50, 72.6606, 0.00294118, Sandro_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-50.wav
-60, -83.945, 0.190196, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-60.wav
70, 72.6606, 0.716667, Sandro_azim_beep500Hz_25out2023_beep500Hz_silencio_70.wav
80, 88.3486, 0.105882, Sandro_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_80.wav
-80, -66.055, 0.35, Sandro_azim_beep500Hz_25out2023_beep500Hz_silencio_-80.wav
10, 49.2661, 0.416667, Sandro_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_10.wav
-10, 2.75229, 0.344118, Sandro_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-10.wav
30, 46.2385, 0.412745, Sandro_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_30.wav
-10, -13.7615, 0.536275, Sandro_azim_beep500Hz_25out2023_beep500Hz_silencio_-10.wav
0, 28.3486, 0.461765, Sandro_azim_beep500Hz_25out2023_beep500Hz_silencio_0.wav
-10, 45.9633, 0.298039, Sandro_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-10.wav
10, 69.3578, 0.237255, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_10.wav
-60, -76.5138, 0.546078, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-60.wav
50, 80.9174, 0.394118, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_50.wav
40, 62.4771, 0.138235, Sandro_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_40.wav
-80, -95.2294, 0.000980392, Sandro_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-80.wav
30, 75.6881, 0.119608, Sandro_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_30.wav
70, -78.7156, 0.137255, Sandro_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_70.wav
-40, -55.8716, 0.4, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-40.wav
-70, -84.7706, 0.755882, Sandro_azim_beep500Hz_25out2023_beep500Hz_silencio_-70.wav
40, 84.4954, 0.214706, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_40.wav
-30, -25.0459, 0.75098, Sandro_azim_beep500Hz_25out2023_itld_beep500Hz_silencio_-30.wav
30, 44.8624, 0.64902, Sandro_azim_beep500Hz_25out2023_beep500Hz_silencio_30.wav
-70, -80.9174, 0.564706, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_-70.wav
70, 82.5688, 0.144118, Sandro_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_70.wav
-40, -13.211, 0.566667, Sandro_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-40.wav
40, 57.7982, 0.270588, Sandro_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_40.wav
-80, -47.8899, 0.538235, Sandro_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_-80.wav
80, 85.3211, 0.271569, Sandro_azim_beep500Hz_25out2023_itld_rev_beep500Hz_silencio_80.wav
0, -14.8624, 0.27549, Sandro_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_0.wav
50, 39.633, 0.260784, Sandro_azim_beep500Hz_25out2023_ild_beep500Hz_silencio_50.wav
-20, -8.80734, 0.504902, Sandro_azim_beep500Hz_25out2023_itd_beep500Hz_silencio_-20.wav
60, 89.1743, 0.592157, Sandro_azim_beep500Hz_25out2023_beep500Hz_silencio_60.wav
