# verdadeiro, estimado, distancia, estimulo
-45, -10.3019, 0.745079, Sandro_azim_multiplostons_01nov2023_recording_multiplostons_-45.wav
-15, 27.9623, 0.983268, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-15.wav
30, 65.7736, 0.679134, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_30.wav
-60, -61.0189, 0.517717, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_-60.wav
90, 48.1132, -0.00393701, Sandro_azim_multiplostons_01nov2023_ild_multiplostons_90.wav
-45, -26.6038, 0.826772, Sandro_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-45.wav
60, 78.4528, 1, Sandro_azim_multiplostons_01nov2023_itd_multiplostons_60.wav
60, 62.6038, 1, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_60.wav
30, 49.2453, 0.741142, Sandro_azim_multiplostons_01nov2023_itd_multiplostons_30.wav
90, 82.9811, 0.840551, Sandro_azim_multiplostons_01nov2023_recording_multiplostons_90.wav
-90, -88.8679, 0.815945, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_-90.wav
-75, -74.3774, 0.915354, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-75.wav
15, 12.566, 0.913386, Sandro_azim_multiplostons_01nov2023_ild_multiplostons_15.wav
-90, -87.283, 0.739173, Sandro_azim_multiplostons_01nov2023_itd_multiplostons_-90.wav
45, 36.1132, -0.00295276, Sandro_azim_multiplostons_01nov2023_ild_multiplostons_45.wav
-30, -1.92453, 0.837598, Sandro_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-30.wav
30, 56.0377, 0.594488, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_30.wav
45, 70.3019, 0.738189, Sandro_azim_multiplostons_01nov2023_itld_multiplostons_45.wav
45, 63.0566, 0.867126, Sandro_azim_multiplostons_01nov2023_recording_multiplostons_45.wav
30, 41.3208, 0.941929, Sandro_azim_multiplostons_01nov2023_itd_multiplostons_30.wav
30, 19.8113, 0.732283, Sandro_azim_multiplostons_01nov2023_ild_multiplostons_30.wav
