# verdadeiro, estimado, distancia
40,90,0.643137
-10,-19.8214,0.645098
-40,-56.7857,0.644118
40,73.125,0.646078
20,40.9821,0.646078
-80,-86.5179,0.908824
70,90,0.908824
30,35.625,0.776471
50,76.0714,0.7
-50,-67.2321,0.845098
60,84.9107,0.898039
-40,-33.4821,0.798039
40,71.5179,0.8
-70,-83.8393,0.294118
-80,-71.7857,0.731373
70,79.2857,0.762745
-20,-14.1964,0.827451
40,68.3036,0.823529
30,43.3929,0.828431
-40,-52.5,0.827451
-10,-10.1786,0.827451
-30,-15.8036,0.827451
60,74.1964,0.828431
10,8.57143,0.828431
-80,-85.7143,0.827451
-70,-69.375,0.828431
50,85.7143,0.828431
-30,-23.3036,0.828431
60,82.7679,0.827451
30,39.6429,0.828431
-60,-46.6071,0.827451
80,87.5893,0.828431
50,52.7679,0.827451
-30,-15.5357,0.827451
20,20.3571,0.823529
-10,5.08929,0.827451
0,5.08929,0.829412
70,83.0357,0.823529
20,24.1071,0.82549
60,79.8214,0.827451
-30,-8.03571,0.823529
-40,-32.4107,0.828431
80,83.5714,0.827451
20,38.3036,0.823529
-50,-38.0357,0.827451
-20,-9.375,0.827451
-60,-68.5714,0.822549
-20,3.48214,0.298039
10,14.7321,0.868627
-70,-64.5536,0.720588
60,90,0.280392
-80,-62.1429,0.281373
-70,-61.875,0.280392
-50,-38.3036,0.280392
10,9.10714,0.281373
-70,-58.125,0.281373
70,76.0714,0.280392
0,3.48214,0.15
50,76.6071,0.789216
80,90,0.789216
-50,-77.9464,0.787255
0,3.48214,0.788235
-60,-81.1607,0.789216
80,90,0.789216
30,55.9821,0.789216
-20,4.28571,0.788235
-20,-6.16071,0.786275
-80,-79.8214,0.789216
50,80.3571,0.789216
0,1.33929,0.789216
-10,5.625,0.786275
-60,-87.0536,0.788235
40,56.7857,0.789216
80,90,0.789216
30,46.0714,0.784314
-40,-36.1607,0.787255
-30,-9.64286,0.784314
-60,-79.5536,0.789216
10,14.7321,0.786275
0,5.625,0.790196
-10,5.08929,0.787255
20,29.7321,0.789216
-50,-39.9107,0.789216
10,2.41071,0.788235
70,90,0.784314
