# verdadeiro, estimado, distancia, estimulo
-20, 2.84483, -0.000986193, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-20.wav
40, 1.55172, 0, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_40.wav
-70, -90, 0.163708, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-70.wav
20, 89.2241, 0.480276, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_20.wav
10, 88.7069, 0.0571992, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_10.wav
0, 88.1897, 0.0621302, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_0.wav
20, 89.4828, 0.0631164, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_20.wav
70, 89.4828, 0.0621302, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_70.wav
-40, -92.3276, 0.0650888, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-40.wav
20, 28.7069, 0.514793, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_20.wav
-60, -94.1379, 0.34714, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-60.wav
-20, -55.0862, 0.252465, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-20.wav
20, 23.0172, 0.199211, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_20.wav
-50, -90.5172, 0.248521, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-50.wav
50, 77.3276, -0.00197239, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_50.wav
80, 90, 0.00197239, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_80.wav
0, 37.2414, 0.499014, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_0.wav
60, 68.7931, 0.474359, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_60.wav
-40, -25.3448, 0.472387, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-40.wav
-30, -92.069, 0.24359, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-30.wav
30, -91.2931, 0.206114, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_30.wav
0, 3.62069, 0.207101, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_0.wav
50, 87.6724, 0.221893, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_50.wav
-80, -25.6034, 0.527613, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-80.wav
-30, -61.8103, 0.550296, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-30.wav
0, 21.9828, 0.995069, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_0.wav
-70, -90.2586, 0.568047, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-70.wav
-70, -89.4828, 0.0927022, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-70.wav
-60, -90.2586, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-60.wav
-20, -35.6897, 0.10355, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-20.wav
-60, -91.5517, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-60.wav
40, 48.8793, 0.551282, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_40.wav
30, 68.7931, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_30.wav
-50, -88.7069, 1.00296, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-50.wav
-40, -88.1897, 1.00296, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-40.wav
70, 90.2586, 1.00099, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_70.wav
-40, -59.4828, 1.00197, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-40.wav
-20, -92.3276, 0.127219, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-20.wav
50, -19.6552, 0.39645, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_50.wav
-10, 2.06897, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-10.wav
-70, -92.8448, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-70.wav
-70, -92.8448, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-70.wav
-60, -93.6207, 1.00296, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-60.wav
30, 45, 0.999014, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_30.wav
-40, -50.1724, 0.609467, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-40.wav
-30, -87.1552, 0.916174, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-30.wav
-20, -27.1552, 0.918146, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-20.wav
10, 43.9655, 0.91716, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_10.wav
40, 69.0517, 0.919132, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_40.wav
80, 89.7414, 0.912229, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_80.wav
60, -1.2931, 0.919132, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_60.wav
-10, -1.03448, 0.918146, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-10.wav
30, 61.5517, 0.918146, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_30.wav
-10, 0.775862, 0.255424, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-10.wav
-60, -95.1724, 0.110454, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-60.wav
10, 55.6034, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_10.wav
-10, -0.775862, 0.999014, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-10.wav
30, 72.1552, 1.00296, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_30.wav
40, 88.7069, 0.108481, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_40.wav
40, 2.06897, 0.112426, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_40.wav
-50, -93.6207, 1.00296, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-50.wav
10, 16.0345, 0.554241, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_10.wav
30, 69.0517, 0.183432, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_30.wav
70, 11.8966, 0.273176, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_70.wav
-60, -72.6724, 0.11144, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-60.wav
50, 75, 0.711045, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_50.wav
20, 52.7586, 0.712032, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_20.wav
-10, -57.1552, 0.711045, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-10.wav
-50, -15.2586, 0.711045, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-50.wav
-50, -15.2586, 0.21499, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-50.wav
20, 60.5172, 0.215976, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_20.wav
-10, 1.2931, 0.219921, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-10.wav
-20, 1.03448, 0.113412, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-20.wav
0, 24.8276, 0.991124, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_0.wav
-50, -73.4483, 0.995069, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-50.wav
70, 78.3621, 0.994083, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_70.wav
-30, -83.2759, 0.739645, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-30.wav
30, 19.3966, 0.740631, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_30.wav
-70, -87.1552, 0.274162, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-70.wav
-10, 1.03448, 0.191321, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-10.wav
-30, 1.55172, 0.193294, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-30.wav
-60, -90, 0.911243, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-60.wav
-40, -7.5, 0.519724, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-40.wav
30, 75, 1.00296, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_30.wav
-70, -7.24138, 1.00197, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-70.wav
-50, -86.1207, 0.849112, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-50.wav
30, 77.3276, 0.850099, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_30.wav
30, 77.5862, 0.849112, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_30.wav
40, 77.3276, 0.127219, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_40.wav
-40, 3.87931, 0.131164, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-40.wav
-40, -91.2931, 0.946746, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-40.wav
-60, -0.258621, 0.147929, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-60.wav
-40, -90.2586, 0.791913, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-40.wav
-70, -30.2586, 0.790927, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-70.wav
20, 79.9138, 0.247535, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_20.wav
-50, -21.4655, 0.604536, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-50.wav
60, 72.6724, 0.86785, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_60.wav
60, 88.4483, 0.868836, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_60.wav
-20, -91.0345, 0.972387, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-20.wav
-70, -41.8966, 0.61144, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-70.wav
60, 13.1897, 0.767258, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_60.wav
0, 12.931, 0.242604, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_0.wav
20, 45.7759, 0.240631, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_20.wav
-40, -43.9655, 0.241617, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-40.wav
-80, -87.931, 0.933925, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-80.wav
-30, -27.4138, 0.93787, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-30.wav
20, 43.9655, 0.936884, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_20.wav
-30, -89.4828, 0.939842, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-30.wav
-80, -58.1897, 0.936884, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-80.wav
-20, -21.4655, 0.938856, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-20.wav
50, 71.3793, 0.940828, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_50.wav
40, 8.01724, 0.186391, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_40.wav
50, 78.8793, 0.186391, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_50.wav
60, 89.7414, 0.131164, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_60.wav
-80, -92.5862, 0.0976331, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-80.wav
10, 21.9828, 0.0976331, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_10.wav
10, 62.8448, 0.508876, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_10.wav
40, 81.4655, 0.509862, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_40.wav
70, 11.3793, 0.127219, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_70.wav
70, 88.1897, 0.998028, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_70.wav
10, 22.5, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_10.wav
80, 90, 1.00296, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_80.wav
-10, 1.03448, 0.21499, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-10.wav
-60, -78.3621, 0.999014, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-60.wav
-10, 10.0862, 0.164694, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-10.wav
70, 73.7069, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_70.wav
0, 1.55172, 0.445759, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_0.wav
20, 33.6207, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_20.wav
10, 33.1034, 0.64497, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_10.wav
-10, 5.17241, 0.25641, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-10.wav
20, 33.3621, 1.00099, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_20.wav
-70, -89.7414, 0.635108, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-70.wav
70, 83.7931, 0.195266, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_70.wav
-80, -88.7069, 1.00197, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-80.wav
10, 32.069, 0.631164, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_10.wav
50, 90.5172, 0.190335, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_50.wav
20, 39.8276, 0.182446, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_20.wav
30, 39.569, 0.182446, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_30.wav
30, 54.8276, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_30.wav
50, 68.7931, 1.00197, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_50.wav
-20, 3.36207, 0.289941, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-20.wav
20, 37.5, 0.290927, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_20.wav
80, 88.1897, 0.158777, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_80.wav
70, 76.2931, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_70.wav
-50, -57.1552, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-50.wav
-70, -90.2586, 0.105523, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-70.wav
70, 86.8966, 0.113412, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_70.wav
-70, -72.1552, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-70.wav
60, 3.36207, 0.317554, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_60.wav
-60, -82.5, 0.0838264, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-60.wav
50, 79.3966, 0.565089, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_50.wav
-50, -83.7931, 0.186391, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_-50.wav
70, 85.3448, 0.551282, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_70.wav
0, 19.1379, 0.551282, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_0.wav
0, 18.6207, 0.551282, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_0.wav
-40, -69.8276, 0.550296, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-40.wav
70, 40.8621, 0.172584, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_70.wav
80, 89.7414, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_80.wav
70, 89.7414, 0.105523, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_70.wav
-30, -0.775862, 0.151874, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-30.wav
0, 15.5172, 0.589744, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_0.wav
30, 29.7414, 0.262327, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_30.wav
-60, -54.0517, 0.263314, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-60.wav
40, 54.569, 0.261341, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_40.wav
30, 46.2931, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_30.wav
-60, -58.1897, 1, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-60.wav
60, 48.3621, 0.169625, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_60.wav
-50, -75, 0.559172, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_-50.wav
-80, -84.0517, 0.998028, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-80.wav
60, 85.8621, 0.539448, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_60.wav
20, 37.7586, 0.574951, Tomas_azim_beep500Hz_27out2023_itld_rev_beep500Hz_silencio_20.wav
-40, -31.5517, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-40.wav
80, 49.3966, 0.421105, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_80.wav
70, 88.9655, 0.238659, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_70.wav
-50, -50.9483, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_-50.wav
40, 53.5345, 1.00296, Tomas_azim_beep500Hz_27out2023_beep500Hz_silencio_40.wav
10, 53.7931, 0.133136, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_10.wav
-50, -56.3793, 0.13215, Tomas_azim_beep500Hz_27out2023_itd_beep500Hz_silencio_-50.wav
10, 25.6034, 0.134122, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_10.wav
80, 89.2241, 0.134122, Tomas_azim_beep500Hz_27out2023_itld_beep500Hz_silencio_80.wav
-60, -37.5, 0.131164, Tomas_azim_beep500Hz_27out2023_ild_beep500Hz_silencio_-60.wav
