# verdadeiro, estimado, distancia, estimulo
-30, -11.8605, 0, Tomas_azim_multiplostons_01nov2023_itld_rev_multiplostons_-30.wav
60, 85.5814, 0, Tomas_azim_multiplostons_01nov2023_recording_multiplostons_60.wav
-75, -79.7674, 0.000983284, Tomas_azim_multiplostons_01nov2023_ild_multiplostons_-75.wav
-45, -19.0698, 0.752212, Tomas_azim_multiplostons_01nov2023_itld_rev_multiplostons_-45.wav
-30, 10, 0.753196, Tomas_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-30.wav
-60, -43.7209, 0.749263, Tomas_azim_multiplostons_01nov2023_recording_multiplostons_-60.wav
75, 90.2326, 0.753196, Tomas_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_75.wav
60, 78.1395, 0.753196, Tomas_azim_multiplostons_01nov2023_itld_rev_multiplostons_60.wav
-45, -22.5581, 0.749263, Tomas_azim_multiplostons_01nov2023_itld_multiplostons_-45.wav
30, 58.3721, 0.753196, Tomas_azim_multiplostons_01nov2023_itld_rev_multiplostons_30.wav
0, 31.3953, 0.79351, Tomas_azim_multiplostons_01nov2023_itld_rev_multiplostons_0.wav
-90, -80.4651, 0.120944, Tomas_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-90.wav
75, 93.0233, 0.121927, Tomas_azim_multiplostons_01nov2023_itld_multiplostons_75.wav
45, 71.8605, 1, Tomas_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_45.wav
75, 93.0233, 0.757129, Tomas_azim_multiplostons_01nov2023_recording_multiplostons_75.wav
15, 32.093, 0.117994, Tomas_azim_multiplostons_01nov2023_ild_multiplostons_15.wav
-90, -83.7209, 0.117994, Tomas_azim_multiplostons_01nov2023_itd_multiplostons_-90.wav
-60, 29.3023, 0, Tomas_azim_multiplostons_01nov2023_ild_multiplostons_-60.wav
0, 29.0698, 0.00196657, Tomas_azim_multiplostons_01nov2023_ild_multiplostons_0.wav
90, 43.2558, 0, Tomas_azim_multiplostons_01nov2023_ild_multiplostons_90.wav
-60, -53.9535, 0.680433, Tomas_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-60.wav
-75, -90.2326, 0.121927, Tomas_azim_multiplostons_01nov2023_itld_espectro_multiplostons_-75.wav
-60, 6.74419, 0, Tomas_azim_multiplostons_01nov2023_itd_multiplostons_-60.wav
90, 96.0465, 0, Tomas_azim_multiplostons_01nov2023_itld_multiplostons_90.wav
15, 52.5581, 0.806293, Tomas_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_15.wav
90, 92.7907, 0.169125, Tomas_azim_multiplostons_01nov2023_itld_espectro_multiplostons_90.wav
75, 45.5814, 0.000983284, Tomas_azim_multiplostons_01nov2023_ild_multiplostons_75.wav
15, 58.6047, 0.755162, Tomas_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_15.wav
90, 86.7442, 0.424779, Tomas_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_90.wav
-60, -20.2326, 0.129794, Tomas_azim_multiplostons_01nov2023_itd_multiplostons_-60.wav
60, 82.7907, 0.12881, Tomas_azim_multiplostons_01nov2023_itld_espectro_multiplostons_60.wav
-60, -44.186, 0.12881, Tomas_azim_multiplostons_01nov2023_itld_multiplostons_-60.wav
-45, -6.51163, 0.468043, Tomas_azim_multiplostons_01nov2023_itld_espectro_rev_multiplostons_-45.wav
0, 34.4186, 0.489676, Tomas_azim_multiplostons_01nov2023_itld_espectro_multiplostons_0.wav
-45, -21.1628, 0.668633, Tomas_azim_multiplostons_01nov2023_itld_rev_multiplostons_-45.wav
-30, 14.186, 0.762045, Tomas_azim_multiplostons_01nov2023_recording_multiplostons_-30.wav
-45, -17.4419, 0.267453, Tomas_azim_multiplostons_01nov2023_itd_multiplostons_-45.wav
75, 89.5349, 0.256637, Tomas_azim_multiplostons_01nov2023_itld_multiplostons_75.wav
45, 43.0233, -0.000983284, Tomas_azim_multiplostons_01nov2023_ild_multiplostons_45.wav
30, 68.6047, 0.811209, Tomas_azim_multiplostons_01nov2023_recording_multiplostons_30.wav
75, 92.093, 0.146509, Tomas_azim_multiplostons_01nov2023_itd_multiplostons_75.wav
-45, -57.907, 0.149459, Tomas_azim_multiplostons_01nov2023_itld_multiplostons_-45.wav
