# verdadeiro, estimado, distancia, estimulo, filtro
-30, -31.4328, 0.000990099, Boris2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -2.41791, 0.000990099, Boris2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -52.1194, 0.000990099, Boris2026fev25bcos_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -63.9403, 0.000990099, Boris2026fev25bcos_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -35.4627, 0.0019802, Boris2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -9.9403, 0, Boris2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 39.2239, 0.000990099, Boris2026fev25bcos_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 11.5522, 0, Boris2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -1.8806, 0.000990099, Boris2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 20.9552, 0.0019802, Boris2026fev25bcos_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -18.5373, 0.0019802, Boris2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -69.3134, 0.0019802, Boris2026fev25bcos_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -26.8657, 0.000990099, Boris2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -48.6269, 0.0029703, Boris2026fev25bcos_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -25.791, 0.0019802, Boris2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -36.5373, 0.000990099, Boris2026fev25bcos_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 63.6716, 0.0019802, Boris2026fev25bcos_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -30.6269, 0.0019802, Boris2026fev25bcos_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 37.6119, 0.000990099, Boris2026fev25bcos_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -48.6269, 0.000990099, Boris2026fev25bcos_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -12.8955, 0.000990099, Boris2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -2.41791, 0, Boris2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -43.5224, 0.0019802, Boris2026fev25bcos_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -60.1791, 0, Boris2026fev25bcos_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 9.67164, 0, Boris2026fev25bcos_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -3.49254, 0.000990099, Boris2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -30.3582, 0.0019802, Boris2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 13.9701, 0.000990099, Boris2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -47.2836, -0.000990099, Boris2026fev25bcos_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 63.403, 0.000990099, Boris2026fev25bcos_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 32.5075, 0, Boris2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 54.806, 0.0019802, Boris2026fev25bcos_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 10.209, 0.000990099, Boris2026fev25bcos_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -16.9254, 0.000990099, Boris2026fev25bcos_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 59.3731, 0.000990099, Boris2026fev25bcos_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 31.9701, 0.0019802, Boris2026fev25bcos_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 48.8955, 0, Boris2026fev25bcos_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 67.7015, 0.000990099, Boris2026fev25bcos_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 11.8209, 0.000990099, Boris2026fev25bcos_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 24.9851, 0, Boris2026fev25bcos_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -16.1194, 0.000990099, Boris2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -41.9104, 0.000990099, Boris2026fev25bcos_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -1.61194, 0.0029703, Boris2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
