# verdadeiro, estimado, distancia, estimulo, filtro
-60, -39.7177, 0.000995025, Boris2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 46.4042, 0, Boris2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 22.3328, 0, Boris2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 46.6716, 0.00199005, Boris2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 16.9837, 0.000995025, Boris2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -23.1352, 0, Boris2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -46.1367, -0.000995025, Boris2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -53.0906, 0, Boris2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -39.1828, -0.000995025, Boris2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -2.54086, 0, Boris2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -14.5765, 0, Boris2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 55.4978, 0.000995025, Boris2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -48.2764, 0.000995025, Boris2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 73.1501, 0, Boris2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 29.0193, 0, Boris2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 55.2303, 0, Boris2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 75.5572, 0.000995025, Boris2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 44.2645, -0.000995025, Boris2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 68.0684, 0, Boris2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -50.1486, 0, Boris2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -85.7207, 0.000995025, Boris2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 44.5319, -0.000995025, Boris2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 22.3328, 0, Boris2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 38.6478, 0, Boris2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 37.578, 0.00199005, Boris2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -23.1352, 0, Boris2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 57.6374, -0.000995025, Boris2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 82.7786, -0.000995025, Boris2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 40.2526, -0.000995025, Boris2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 73.1501, 0, Boris2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -18.8559, 0.000995025, Boris2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -18.8559, 0.000995025, Boris2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -50.416, -0.000995025, Boris2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -14.844, 0.000995025, Boris2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -65.9287, 0, Boris2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 54.6954, 0.000995025, Boris2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 36.7756, 0, Boris2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 42.3923, 0.000995025, Boris2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 61.1144, 0.000995025, Boris2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -37.0431, 0, Boris2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 50.951, 0, Boris2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 79.8366, 0, Boris2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -17.2511, 0, Boris2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -49.0788, -0.000995025, Boris2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -2.2734, 0.000995025, Boris2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 29.5542, 0, Boris2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 49.3462, 0, Boris2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 61.6493, 0, Boris2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 88.9302, 0, Boris2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -39.7177, 0.000995025, Boris2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -21.5305, 0, Boris2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 50.6835, 0, Boris2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 61.6493, 0, Boris2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -15.1114, 0, Boris2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -25.2749, 0, Boris2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -0.668648, 0, Boris2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -37.8455, 0, Boris2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 47.7415, 0.000995025, Boris2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 83.581, 0, Boris2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 33.0312, -0.000995025, Boris2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -25.8098, 0, Boris2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 32.7637, 0, Boris2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -24.74, -0.000995025, Boris2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -42.6597, 0.000995025, Boris2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 39.7177, -0.000995025, Boris2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 10.2972, 0, Boris2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 50.6835, 0, Boris2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 26.8796, 0.000995025, Boris2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 26.8796, 0.000995025, Boris2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -34.101, 0.00199005, Boris2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -2.54086, 0, Boris2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -27.4146, 0.000995025, Boris2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, -1.73848, 0.000995025, Boris2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -1.73848, -0.000995025, Boris2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -26.3447, 0.00199005, Boris2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -1.47103, 0.00199005, Boris2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -1.47103, 0.000995025, Boris2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -83.581, -0.000995025, Boris2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 80.6389, 0.00199005, Boris2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 28.2169, 0, Boris2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 82.7786, 0.000995025, Boris2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 90, 0, Boris2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -23.1352, -0.000995025, Boris2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -89.4651, 0.000995025, Boris2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -15.3789, 0, Boris2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -26.6122, 0, Boris2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -2.00594, 0.000995025, Boris2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 12.9718, 0.000995025, Boris2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -35.7058, 0, Boris2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 47.474, 0, Boris2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -68.8707, 0, Boris2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -68.6033, 0, Boris2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -68.6033, 0.000995025, Boris2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -43.7296, 0, Boris2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -43.997, -0.000995025, Boris2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -43.7296, 0.000995025, Boris2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -22.3328, 0, Boris2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 23.9376, 0.000995025, Boris2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -25.5423, -0.000995025, Boris2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -37.0431, 0, Boris2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -1.20357, 0, Boris2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -16.7162, 0.000995025, Boris2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 56.8351, -0.000995025, Boris2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 79.3016, 0.00199005, Boris2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
