# verdadeiro, estimado, distancia, estimulo, filtro
-75, -37.4218, 0, Boris2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 85.9762, -0.00099108, Boris2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -0.402385, -0.00099108, Boris2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -22.3994, 0.00099108, Boris2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -48.4203, 0.00198216, Boris2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -46.2742, 0, Boris2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -68.2712, 0, Boris2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 25.082, -0.00099108, Boris2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 86.2444, -0.00198216, Boris2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.7317, 0, Boris2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 29.3741, 0.00099108, Boris2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 10.0596, 0, Boris2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -24.2772, -0.00099108, Boris2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 60.7601, 0.00099108, Boris2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, 0.938897, 0.00198216, Boris2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 21.8629, 0.00099108, Boris2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 52.1759, -0.00198216, Boris2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -19.4486, -0.00099108, Boris2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, 0.402385, 0, Boris2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 44.6647, 0.00099108, Boris2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 42.7869, -0.00099108, Boris2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 63.1744, -0.00198216, Boris2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -18.3756, 0, Boris2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 88.1222, 0.00099108, Boris2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
