# verdadeiro, estimado, distancia, estimulo, filtro
30, 22.7679, -0.00198216, Boris2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, 3.48214, 0, Boris2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 90.2679, -0.00099108, Boris2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 61.6071, -0.00099108, Boris2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 45.5357, 0.00099108, Boris2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -16.875, -0.00198216, Boris2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 10.1786, 0, Boris2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -45, 0, Boris2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -22.5, 0, Boris2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -63.4821, 0, Boris2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 89.7321, 0, Boris2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 38.8393, -0.00099108, Boris2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 47.6786, 0, Boris2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -17.4107, 0, Boris2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -35.3571, -0.00099108, Boris2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -73.9286, 0, Boris2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -2.14286, -0.00198216, Boris2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -23.3036, -0.00099108, Boris2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -23.0357, 0, Boris2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 66.4286, 0, Boris2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -15, -0.00099108, Boris2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 18.75, -0.00099108, Boris2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -67.5, 0, Boris2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -2.14286, 0, Boris2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 35.3571, -0.00099108, Boris2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -37.7679, 0, Boris2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -19.5536, 0, Boris2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -50.625, -0.00099108, Boris2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -19.5536, 0, Boris2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -8.03571, 0.00099108, Boris2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -40.7143, 0.00099108, Boris2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 86.7857, 0, Boris2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -25.1786, 0.00099108, Boris2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 11.7857, 0, Boris2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -48.4821, 0, Boris2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 12.3214, 0, Boris2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -2.14286, 0, Boris2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 74.7321, -0.00099108, Boris2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -36.4286, 0.00099108, Boris2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -16.0714, -0.00099108, Boris2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 83.3036, 0, Boris2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 61.0714, -0.00099108, Boris2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 35.0893, -0.00198216, Boris2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 35.3571, 0.00099108, Boris2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -13.3929, 0, Boris2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -51.6964, -0.00099108, Boris2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -59.1964, 0, Boris2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -69.1071, 0, Boris2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -89.7321, 0, Boris2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
