# verdadeiro, estimado, distancia, estimulo, filtro
75, 89.2128, 0.000990099, Gabriel2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -37.2595, 0, Gabriel2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 68.7464, 0.000990099, Gabriel2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -25.7143, 0.000990099, Gabriel2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -47.7551, 0, Gabriel2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -81.8659, 0, Gabriel2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -84.7522, -0.0019802, Gabriel2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 75.8309, 0, Gabriel2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 89.2128, -0.000990099, Gabriel2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 36.4723, 0.000990099, Gabriel2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.7376, 0, Gabriel2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -3.41108, -0.000990099, Gabriel2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 26.2391, 0.000990099, Gabriel2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -46.4431, 0, Gabriel2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -32.5364, 0, Gabriel2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -47.2303, 0, Gabriel2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -80.0292, -0.000990099, Gabriel2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 17.3178, -0.000990099, Gabriel2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 14.9563, -0.0019802, Gabriel2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -15.7434, -0.000990099, Gabriel2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -37.5219, -0.0019802, Gabriel2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 67.6968, -0.000990099, Gabriel2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -67.172, 0, Gabriel2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 91.0496, 0, Gabriel2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 50.9038, -0.000990099, Gabriel2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 14.1691, -0.000990099, Gabriel2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 29.1254, -0.000990099, Gabriel2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.7376, -0.000990099, Gabriel2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 39.0962, -0.0019802, Gabriel2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 68.7464, -0.0019802, Gabriel2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 68.484, 0.000990099, Gabriel2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -39.0962, 0, Gabriel2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -48.0175, -0.000990099, Gabriel2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -1.04956, -0.0019802, Gabriel2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -25.4519, 0, Gabriel2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -87.1137, -0.0019802, Gabriel2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -87.6385, 0, Gabriel2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 69.2711, -0.000990099, Gabriel2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 36.7347, 0, Gabriel2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -88.688, 0, Gabriel2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -88.688, 0.000990099, Gabriel2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 62.449, 0, Gabriel2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 8.65889, 0, Gabriel2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 8.92128, 0, Gabriel2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 90.5248, -0.0019802, Gabriel2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -85.5394, 0, Gabriel2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 61.3994, 0, Gabriel2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -87.9009, -0.0019802, Gabriel2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 73.4694, -0.000990099, Gabriel2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -59.3003, -0.0019802, Gabriel2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.7376, -0.0019802, Gabriel2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 69.5335, -0.000990099, Gabriel2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 42.7697, -0.000990099, Gabriel2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.2128, -0.000990099, Gabriel2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 67.6968, -0.000990099, Gabriel2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -65.3353, 0, Gabriel2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -45.9184, 0, Gabriel2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 22.0408, -0.0019802, Gabriel2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 49.0671, 0.000990099, Gabriel2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 49.3294, -0.000990099, Gabriel2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 22.828, -0.000990099, Gabriel2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -25.9767, 0.000990099, Gabriel2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 78.1924, 0.000990099, Gabriel2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 75.3061, -0.000990099, Gabriel2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 90, 0.000990099, Gabriel2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 65.5977, -0.0019802, Gabriel2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 72.4198, -0.000990099, Gabriel2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 89.2128, -0.0019802, Gabriel2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 67.6968, -0.0019802, Gabriel2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -38.309, 0, Gabriel2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 78.7172, -0.000990099, Gabriel2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -85.8017, -0.0019802, Gabriel2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -60.8746, -0.000990099, Gabriel2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 74.7813, -0.000990099, Gabriel2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 33.0612, 0, Gabriel2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 36.9971, 0, Gabriel2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -44.8688, -0.000990099, Gabriel2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -17.3178, 0, Gabriel2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -19.1545, -0.000990099, Gabriel2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 7.34694, -0.000990099, Gabriel2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 71.1079, -0.000990099, Gabriel2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 68.7464, 0, Gabriel2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, 4.46064, 0.000990099, Gabriel2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 36.9971, 0, Gabriel2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 20.2041, 0, Gabriel2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 53.0029, -0.000990099, Gabriel2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -67.4344, 0.000990099, Gabriel2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -0.787172, 0, Gabriel2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 89.4752, -0.0019802, Gabriel2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -18.3673, -0.000990099, Gabriel2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -25.1895, -0.0019802, Gabriel2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 54.8397, 0, Gabriel2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 55.6268, 0, Gabriel2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -20.9913, -0.000990099, Gabriel2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -25.4519, 0, Gabriel2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 63.2362, 0.000990099, Gabriel2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -61.137, 0.000990099, Gabriel2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 71.1079, -0.000990099, Gabriel2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 59.0379, 0, Gabriel2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 60.6122, 0, Gabriel2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 37.2595, 0, Gabriel2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -25.4519, -0.000990099, Gabriel2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -65.3353, 0, Gabriel2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 7.34694, -0.000990099, Gabriel2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
