# verdadeiro, estimado, distancia, estimulo, filtro
-15, 2.6393, 0, Gabriel2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 32.1994, 0, Gabriel2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -35.6305, 0.000988142, Gabriel2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.2082, 0, Gabriel2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 54.1056, 0, Gabriel2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -24.0176, 0.000988142, Gabriel2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -23.4897, 0.000988142, Gabriel2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 14.5161, 0.000988142, Gabriel2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 69.6774, 0.000988142, Gabriel2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 89.7361, 0.00197628, Gabriel2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 37.2141, 0.00197628, Gabriel2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 65.7185, 0.00197628, Gabriel2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -49.0909, 0.000988142, Gabriel2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 13.7243, 0.000988142, Gabriel2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 12.1408, 0.000988142, Gabriel2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.2082, 0.00197628, Gabriel2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 60.4399, 0.000988142, Gabriel2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -24.8094, 0, Gabriel2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 17.6833, 0.000988142, Gabriel2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 43.5484, 0.00197628, Gabriel2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -21.6422, 0, Gabriel2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -21.3783, 0.00197628, Gabriel2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -0.791789, 0.00197628, Gabriel2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 42.7566, 0.00197628, Gabriel2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 88.6804, 0.000988142, Gabriel2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 43.5484, 0.000988142, Gabriel2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 60.9677, 0.00197628, Gabriel2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -44.868, 0.000988142, Gabriel2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -44.868, 0, Gabriel2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -17.9472, 0.000988142, Gabriel2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 52.522, 0, Gabriel2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -19.7947, 0.000988142, Gabriel2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 75.2199, 0, Gabriel2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 51.4663, 0.000988142, Gabriel2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -57.2727, 0, Gabriel2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -59.6481, 0.000988142, Gabriel2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 52.2581, 0.000988142, Gabriel2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 38.7977, 0, Gabriel2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -76.8035, 0, Gabriel2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 7.1261, -0.000988142, Gabriel2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -32.7273, 0.000988142, Gabriel2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 87.0968, 0.00197628, Gabriel2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -12.1408, 0.000988142, Gabriel2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 54.8974, 0, Gabriel2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 26.129, 0.00197628, Gabriel2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 46.7155, 0.00197628, Gabriel2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 31.4076, 0, Gabriel2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -41.9648, 0.00197628, Gabriel2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -42.2287, 0.000988142, Gabriel2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 26.9208, 0.000988142, Gabriel2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -7.1261, 0.000988142, Gabriel2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.4721, 0.00197628, Gabriel2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 89.2082, 0, Gabriel2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 38.5337, 0.000988142, Gabriel2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 63.3431, 0.00197628, Gabriel2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -53.8416, 0.00197628, Gabriel2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -55.9531, 0.00197628, Gabriel2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -89.4721, 0.000988142, Gabriel2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -58.3284, 0, Gabriel2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -53.0499, 0.00197628, Gabriel2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.4721, 0.000988142, Gabriel2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 73.1085, 0, Gabriel2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 76.0117, 0.000988142, Gabriel2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -90.2639, 0.00197628, Gabriel2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 4.4868, 0.000988142, Gabriel2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 61.2317, 0, Gabriel2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -60.7038, 0.000988142, Gabriel2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 41.9648, 0, Gabriel2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -63.3431, 0.000988142, Gabriel2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 6.86217, 0.000988142, Gabriel2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -36.4223, -0.000988142, Gabriel2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -48.2991, 0.00197628, Gabriel2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 43.5484, 0, Gabriel2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 75.7478, 0, Gabriel2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.4721, 0, Gabriel2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 89.7361, 0.00197628, Gabriel2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -89.7361, 0.000988142, Gabriel2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 73.1085, 0.00197628, Gabriel2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -38.0059, 0.000988142, Gabriel2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -38.7977, 0.00197628, Gabriel2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -14.2522, 0.000988142, Gabriel2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 83.4018, 0.000988142, Gabriel2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -24.5455, 0.000988142, Gabriel2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -89.7361, 0.00197628, Gabriel2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 60.4399, 0, Gabriel2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
