# verdadeiro, estimado, distancia, estimulo, filtro
-45, -34.5748, 0, Gabriel2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 63.0792, -0.00099108, Gabriel2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 39.8534, 0, Gabriel2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 77.5953, -0.00099108, Gabriel2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 88.9443, -0.00198216, Gabriel2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 44.0762, -0.00297324, Gabriel2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -17.1554, -0.00099108, Gabriel2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 72.3167, 0, Gabriel2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 48.827, -0.00099108, Gabriel2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -58.8563, 0, Gabriel2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 90.5279, 0, Gabriel2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -68.0938, -0.00198216, Gabriel2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -68.3578, -0.00099108, Gabriel2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 68.8856, -0.00198216, Gabriel2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, 15.3079, -0.00297324, Gabriel2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -22.6979, -0.00099108, Gabriel2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 44.868, 0, Gabriel2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -38.7977, -0.00198216, Gabriel2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 65.7185, -0.00099108, Gabriel2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 50.6745, 0, Gabriel2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, 10.0293, -0.00297324, Gabriel2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -70.7331, -0.00099108, Gabriel2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -22.6979, -0.00198216, Gabriel2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -89.4721, -0.00297324, Gabriel2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 69.4135, -0.00099108, Gabriel2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -10.0293, 0, Gabriel2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -83.6657, -0.00297324, Gabriel2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
