# verdadeiro, estimado, distancia, estimulo, filtro
-75, -39.5376, 0, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -42.3988, 0, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -37.7168, 0, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -46.8208, 0.00099108, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -15.0867, 0.00099108, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 45.7803, -0.00099108, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 46.8208, 0, Pavao2026fev25_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -40.578, 0.00099108, Pavao2026fev25_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 17.1676, 0, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 19.2486, 0.00099108, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 17.948, -0.00099108, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 34.0751, 0.00099108, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -44.7399, 0.00099108, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -52.8035, 0.00198216, Pavao2026fev25_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 24.4509, 0.00198216, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -47.6012, 0.00099108, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -56.185, -0.00099108, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 33.2948, 0.00198216, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -38.4971, 0, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -28.3526, 0.00198216, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -7.28324, 0, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -53.0636, 0.00099108, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -60.3468, 0.00099108, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 21.8497, 0, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 48.6416, 0, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 45, -0.00099108, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 21.5896, 0, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -30.1734, -0.00099108, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 35.896, -0.00099108, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -9.10405, 0, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -67.8902, 0.00099108, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -52.5434, 0.00099108, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 23.4104, 0, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 36.4162, 0, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -42.1387, 0, Pavao2026fev25_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -10.1445, 0, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -9.10405, 0, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -45, 0.00099108, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
