# verdadeiro, estimado, distancia, estimulo, filtro
-90, -35.0893, 0, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 47.6786, 0.00099108, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 33.4821, 0, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -10.1786, 0, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -1.33929, 0, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 16.3393, 0.00099108, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 38.5714, 0, Pavao2026fev25_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 2.41071, 0, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -21.9643, -0.00099108, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -46.3393, -0.00099108, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 40.7143, 0.00099108, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 71.5179, -0.00198216, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -24.375, 0.00099108, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 83.0357, 0.00099108, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -21.1607, 0, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 0.803571, 0, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 57.0536, 0, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 36.9643, -0.00198216, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -18.75, -0.00099108, Pavao2026fev25_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 49.5536, 0, Pavao2026fev25_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -39.9107, 0, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -24.6429, 0, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -1.07143, 0.00099108, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 39.375, 0, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, 8.57143, 0, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -3.48214, -0.00198216, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 0.267857, -0.00099108, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 12.5893, -0.00099108, Pavao2026fev25_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -21.4286, 0, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 36.1607, 0, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, 0, -0.00099108, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 35.625, 0, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -2.14286, 0.00198216, Pavao2026fev25_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 53.3036, 0, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 42.8571, -0.00198216, Pavao2026fev25_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -15.5357, -0.00099108, Pavao2026fev25_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 76.3393, 0, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 75.5357, 0, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 55.4464, 0.00099108, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -9.91071, 0, Pavao2026fev25_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 14.4643, -0.00099108, Pavao2026fev25_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 15.8036, 0, Pavao2026fev25_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -13.6607, 0, Pavao2026fev25_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -24.1071, 0, Pavao2026fev25_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -13.125, -0.00198216, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 40.7143, 0.00099108, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -20.8929, 0, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 28.9286, 0.00099108, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -3.75, -0.00099108, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 41.7857, 0.00099108, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -67.5, 0, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 30, 0.00099108, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 13.6607, 0, Pavao2026fev25_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 40.7143, 0, Pavao2026fev25_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -9.375, 0, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 53.0357, 0, Pavao2026fev25_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 53.3036, 0, Pavao2026fev25_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -10.4464, 0, Pavao2026fev25_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 14.7321, -0.00099108, Pavao2026fev25_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 38.8393, 0, Pavao2026fev25_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -15.5357, 0.00099108, Pavao2026fev25_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 35.3571, 0.00099108, Pavao2026fev25_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -71.5179, 0, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -39.375, 0, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -39.375, 0, Pavao2026fev25_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 44.7321, 0, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 15.2679, 0, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -26.5179, 0, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -25.1786, 0.00099108, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 18.75, 0, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 1.07143, 0, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -70.1786, 0, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 30.5357, 0, Pavao2026fev25_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 14.1964, 0.00099108, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 15.2679, 0.00198216, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 78.2143, 0, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 78.4821, 0, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -26.7857, 0, Pavao2026fev25_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -15.5357, 0, Pavao2026fev25_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -17.6786, 0.00099108, Pavao2026fev25_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 16.3393, 0, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -1.07143, 0, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -15.2679, -0.00198216, Pavao2026fev25_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -62.9464, 0.00099108, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 34.2857, 0, Pavao2026fev25_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 51.9643, -0.00198216, Pavao2026fev25_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 75.2679, 0, Pavao2026fev25_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 57.0536, 0.00099108, Pavao2026fev25_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -17.9464, 0.00099108, Pavao2026fev25_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 21.4286, 0, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -59.7321, 0, Pavao2026fev25_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 17.1429, -0.00099108, Pavao2026fev25_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -0.803571, -0.00099108, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -26.25, 0.00099108, Pavao2026fev25_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -55.7143, 0.00099108, Pavao2026fev25_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -19.0179, 0.00099108, Pavao2026fev25_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
