# verdadeiro, estimado, distancia, estimulo, filtro
30, 42.5217, 0, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 55.3043, 0.00197824, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 35.7391, 0.00098912, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 60.2609, 0, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 3.65217, 0, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -23.2174, 0, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -40.9565, 0.00098912, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 0.26087, 0, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -21.1304, 0, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -9.13043, 0.00098912, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 23.4783, 0.00197824, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 20.3478, 0.00098912, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 27.3913, -0.00098912, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 43.5652, 0, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 60.2609, 0, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -41.2174, 0.00098912, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 20.3478, 0.00098912, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 47.2174, 0.00197824, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -48.7826, -0.00098912, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -28.4348, 0, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 32.6087, 0.00098912, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 61.5652, 0.00197824, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -55.0435, 0.00098912, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 40.4348, 0.00197824, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -56.6087, 0.00098912, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 38.8696, 0.00197824, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 48, -0.00098912, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -22.4348, 0.00098912, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 6, 0.00098912, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 34.4348, 0, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -73.0435, 0.00098912, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 30.2609, 0.00098912, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 26.087, 0.00098912, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -29.4783, 0.00296736, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 1.30435, 0.00296736, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -37.0435, 0.00098912, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 4.43478, 0.00098912, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 38.087, 0.00098912, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 49.8261, 0.00098912, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -51.1304, 0, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -19.8261, 0.00197824, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -57.913, 0.00098912, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -51.913, 0.00098912, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 19.5652, 0.00098912, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -61.5652, 0.00098912, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 15.1304, 0, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 51.1304, 0.00098912, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 33.3913, 0.00197824, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -42, 0.00098912, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 44.8696, 0.00098912, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -54.5217, 0.00098912, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -30.2609, 0.00098912, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -52.4348, 0.00098912, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -42, 0.00296736, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -68.3478, 0.00098912, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -42.7826, 0, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 42.2609, 0.00098912, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 6.26087, -0.00098912, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 49.0435, 0.00098912, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -45.913, 0.00098912, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
