# verdadeiro, estimado, distancia, estimulo, filtro
-15, -19.8214, 0.000990099, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 22.2321, 0.000990099, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -0.267857, 0.000990099, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -52.2321, -0.000990099, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 52.2321, 0.0019802, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -22.7679, 0, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -22.2321, 0.000990099, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 36.4286, 0, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 36.4286, 0, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 46.6071, -0.000990099, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 80.0893, 0, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -20.0893, 0.000990099, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 46.0714, 0, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -45.5357, 0, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -75.5357, 0, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 6.16071, 0.000990099, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -61.875, -0.000990099, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 40.4464, 0.000990099, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -21.6964, 0, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -9.375, 0, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 0.267857, 0, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 0, 0.0019802, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 47.9464, -0.000990099, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 81.6964, 0, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 42.8571, 0.000990099, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 72.5893, 0, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -14.4643, 0, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 25.7143, 0.000990099, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -54.9107, 0.000990099, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -35.8929, 0.000990099, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -36.1607, 0.000990099, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -36.1607, 0.000990099, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -12.8571, 0.000990099, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 43.9286, 0, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -31.6071, -0.000990099, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -44.4643, 0.0019802, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -18.75, 0.0019802, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 17.4107, 0, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -30.8036, 0, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -40.1786, 0.000990099, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 30.5357, 0, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -32.9464, 0.000990099, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 49.0179, 0.000990099, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -32.9464, 0.000990099, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 60, -0.000990099, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 32.1429, 0.0019802, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 1.60714, 0.0019802, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 32.4107, -0.000990099, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -0.267857, 0, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -35.8929, 0, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -36.4286, 0.0019802, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -5.08929, 0, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 59.7321, 0, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -30.2679, 0.000990099, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -63.75, 0.000990099, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 40.4464, -0.000990099, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 13.9286, 0.000990099, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 41.7857, 0.000990099, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 64.0179, -0.000990099, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -30.5357, 0.000990099, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 59.7321, 0, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 37.5, 0, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 48.2143, 0.000990099, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 48.2143, 0, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 25.4464, 0, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 25.4464, -0.000990099, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 11.5179, -0.000990099, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -37.7679, -0.000990099, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 70.9821, 0, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -16.0714, 0.000990099, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 41.5179, 0, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -19.2857, 0.0019802, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 39.6429, 0.0019802, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 20.8929, 0.000990099, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -13.3929, 0.000990099, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -14.7321, 0, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -36.1607, 0.000990099, Pavao2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -35.8929, 0, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 17.4107, 0, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 17.4107, 0, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 50.625, 0.000990099, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 51.9643, 0.0019802, Pavao2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 26.7857, 0, Pavao2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 27.0536, 0, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 58.9286, 0.0019802, Pavao2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -38.0357, 0, Pavao2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 23.8393, 0.000990099, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 55.4464, 0, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 36.4286, 0.000990099, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 68.5714, 0.000990099, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 88.6607, 0, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -55.1786, -0.000990099, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -55.4464, 0, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -32.9464, 0.0019802, Pavao2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -58.6607, 0.000990099, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 69.375, 0.0019802, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -87.0536, 0.000990099, Pavao2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 32.4107, -0.000990099, Pavao2026fev25blin_burstlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -9.64286, 0.000990099, Pavao2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -9.64286, 0, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -9.64286, 0.000990099, Pavao2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 36.9643, 0, Pavao2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -18.75, 0.000990099, Pavao2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 58.3929, 0.000990099, Pavao2026fev25blin_burstlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
