# verdadeiro, estimado, distancia, estimulo, filtro
75, 41.63, -0.000995025, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 47.7093, -0.000995025, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 45.0661, -0.000995025, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -33.7004, 0, Pavao2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -41.63, -0.000995025, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -55.1101, 0.000995025, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -33.9648, 0, Pavao2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -49.0308, -0.000995025, Pavao2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 13.0837, -0.000995025, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 27.6211, 0.000995025, Pavao2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 41.63, -0.000995025, Pavao2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -44.0088, -0.000995025, Pavao2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 19.163, -0.000995025, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 36.0793, -0.000995025, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 17.5771, -0.000995025, Pavao2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 12.5551, -0.000995025, Pavao2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 37.6652, 0, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -30.2643, 0.000995025, Pavao2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 38.9868, -0.00199005, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 4.09692, 0, Pavao2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 37.9295, 0, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -42.4229, -0.000995025, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, 1.45374, 0, Pavao2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -35.022, 0, Pavao2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -55.1101, 0, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -46.1233, 0.000995025, Pavao2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -49.8238, -0.000995025, Pavao2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 16.2555, 0, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 33.7004, -0.000995025, Pavao2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -26.0352, 0, Pavao2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -7.53304, -0.000995025, Pavao2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
