# verdadeiro, estimado, distancia, estimulo, filtro
75, 63.1744, -0.000990099, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -4.69449, 0.000990099, Pavao2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -5.231, 0.000990099, Pavao2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 14.3517, 0, Pavao2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 4.15797, 0.000990099, Pavao2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -22.9359, 0.000990099, Pavao2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -36.3487, 0, Pavao2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 44.3964, 0.0019802, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -27.228, 0.0019802, Pavao2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -50.2981, 0.0019802, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -50.0298, 0.0019802, Pavao2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -74.9776, 0, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 26.9598, 0, Pavao2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -26.6915, 0.000990099, Pavao2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 21.5946, 0.000990099, Pavao2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 28.8376, 0.0019802, Pavao2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 55.1267, 0, Pavao2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 55.6632, 0.0019802, Pavao2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 74.1729, 0.0019802, Pavao2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -30.7154, 0, Pavao2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 42.7869, 0.000990099, Pavao2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 8.71833, 0.000990099, Pavao2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 34.7392, 0, Pavao2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -25.6185, 0.000990099, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -45.7377, 0, Pavao2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 16.4978, -0.000990099, Pavao2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 5.231, 0, Pavao2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -11.6692, 0.0019802, Pavao2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 43.8599, 0.000990099, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -13.2787, 0.000990099, Pavao2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 54.3219, 0.000990099, Pavao2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -17.5708, 0, Pavao2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -0.670641, 0.000990099, Pavao2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -0.670641, 0.0019802, Pavao2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 39.5678, 0, Pavao2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -18.9121, 0, Pavao2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -1.20715, 0, Pavao2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -15.9613, -0.000990099, Pavao2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -37.69, -0.000990099, Pavao2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -61.8331, 0.000990099, Pavao2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 48.152, 0, Pavao2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -18.9121, 0, Pavao2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 53.5171, 0.000990099, Pavao2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 25.8867, -0.000990099, Pavao2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 0.670641, 0, Pavao2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -32.3249, 0.000990099, Pavao2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 66.1252, 0, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 73.0999, 0.000990099, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 42.5186, 0, Pavao2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -0.402385, -0.000990099, Pavao2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 37.1535, 0.000990099, Pavao2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 28.0328, 0.000990099, Pavao2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -15.9613, 0.0019802, Pavao2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 50.5663, -0.000990099, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 27.7645, 0.000990099, Pavao2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 76.0507, 0.000990099, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -15.693, 0.000990099, Pavao2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -25.3502, -0.000990099, Pavao2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -47.8838, 0.000990099, Pavao2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -25.082, 0, Pavao2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 26.4232, -0.000990099, Pavao2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 64.7839, 0, Pavao2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -11.4009, 0, Pavao2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -1.74367, -0.000990099, Pavao2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 13.8152, 0.000990099, Pavao2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -21.0581, 0, Pavao2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -38.4948, 0, Pavao2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 35.8122, 0, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 20.7899, 0, Pavao2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -22.6677, 0, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -37.69, 0.000990099, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -6.03577, 0.000990099, Pavao2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 47.3472, -0.000990099, Pavao2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -43.8599, -0.000990099, Pavao2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
