# verdadeiro, estimado, distancia, estimulo, filtro
45, 32.8696, -0.000990099, Pavao2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -45.1304, 0, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 23.4783, 0.0019802, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -40.1739, -0.000990099, Pavao2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -60, 0.000990099, Pavao2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, -13.8261, 0.000990099, Pavao2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -25.0435, 0.000990099, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -34.6957, 0.0019802, Pavao2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 22.1739, 0, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 49.8261, 0.000990099, Pavao2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -34.4348, 0.000990099, Pavao2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -42, 0.0019802, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -48.7826, 0.000990099, Pavao2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -65.2174, 0.0019802, Pavao2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -43.8261, 0, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 12, 0.000990099, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -1.82609, 0.0019802, Pavao2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -0.782609, -0.000990099, Pavao2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -48.7826, 0.000990099, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -34.1739, 0, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 40.9565, 0, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 2.08696, 0.0019802, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -46.9565, 0, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, -3.3913, 0, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -42.5217, 0, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -54.5217, -0.000990099, Pavao2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -60.5217, 0.000990099, Pavao2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -79.8261, 0.000990099, Pavao2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 15.1304, 0.000990099, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 43.3043, 0.000990099, Pavao2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -37.8261, -0.000990099, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 53.4783, 0, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 40.1739, 0, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 4.95652, 0, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 46.1739, 0.000990099, Pavao2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -52.1739, 0, Pavao2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 0.521739, -0.000990099, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -51.6522, 0, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -62.087, -0.000990099, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 1.56522, 0.000990099, Pavao2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 43.8261, 0.0019802, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 44.087, 0.000990099, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -2.08696, 0.000990099, Pavao2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -46.9565, 0.000990099, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -47.2174, 0, Pavao2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -66.5217, 0.0019802, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -85.8261, 0.0019802, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -52.9565, 0.000990099, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -50.8696, 0.000990099, Pavao2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 13.0435, -0.000990099, Pavao2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 15.1304, 0.0019802, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 8.86957, 0.0019802, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 49.5652, 0, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 23.2174, 0, Pavao2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, -3.65217, 0.000990099, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -36.5217, -0.000990099, Pavao2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 45.913, 0, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 61.3043, 0, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 22.4348, 0, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -55.0435, 0.0019802, Pavao2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -4.43478, 0, Pavao2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -4.95652, 0.000990099, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -63.3913, -0.000990099, Pavao2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 37.8261, 0.0019802, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 36.2609, 0.000990099, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -60, 0.000990099, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -21.6522, 0.000990099, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, -4.69565, 0, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -34.6957, 0.000990099, Pavao2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 34.9565, 0.000990099, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 35.2174, 0, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -37.3043, 0.0019802, Pavao2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, -4.43478, 0.0019802, Pavao2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
