# verdadeiro, estimado, distancia, estimulo, filtro
0, 1.34328, -0.0019802, Pavao2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 19.3433, -0.000990099, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -56.1493, -0.000990099, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 12.8955, 0, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 12.6269, -0.000990099, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 28.4776, -0.000990099, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 12.3582, -0.000990099, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 73.8806, -0.000990099, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 90, -0.000990099, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -47.5522, -0.0029703, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -47.8209, -0.000990099, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 87.3134, -0.000990099, Pavao2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 62.0597, -0.0019802, Pavao2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -27.403, -0.000990099, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -31.9701, -0.0019802, Pavao2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, -1.8806, -0.000990099, Pavao2026fev25clin_contlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -18.5373, 0, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 1.61194, -0.000990099, Pavao2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -26.3284, -0.000990099, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -24.9851, -0.0019802, Pavao2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -56.6866, -0.0019802, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 55.3433, -0.0029703, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 31.1642, 0, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -12.6269, 0, Pavao2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 47.2836, -0.0019802, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -25.791, -0.0019802, Pavao2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -2.95522, -0.000990099, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 48.0896, -0.000990099, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -20.6866, -0.0019802, Pavao2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 43.5224, -0.000990099, Pavao2026fev25clin_contlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 16.9254, -0.0019802, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -62.0597, -0.000990099, Pavao2026fev25clin_contlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -13.7015, -0.000990099, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -13.7015, -0.0019802, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -13.4328, -0.0029703, Pavao2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 6.71642, -0.0019802, Pavao2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -18.5373, -0.000990099, Pavao2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 9.40299, -0.000990099, Pavao2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 35.7313, -0.000990099, Pavao2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 59.6418, -0.000990099, Pavao2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -52.1194, -0.0019802, Pavao2026fev25clin_contlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
