# verdadeiro, estimado, distancia, estimulo, filtro
30, 31.3216, 0.737624, Sandro2026fev25bcos_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -30.2643, 0.737624, Sandro2026fev25bcos_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -51.9383, 0.741584, Sandro2026fev25bcos_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -10.4405, 0.737624, Sandro2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 76.7841, 0.740594, Sandro2026fev25bcos_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 24.7137, 0.739604, Sandro2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 79.6916, 0.739604, Sandro2026fev25bcos_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 56.696, 0.741584, Sandro2026fev25bcos_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 9.64758, 0.737624, Sandro2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -39.2511, 0.741584, Sandro2026fev25bcos_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 55.6388, 0.740594, Sandro2026fev25bcos_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 54.5815, 0.741584, Sandro2026fev25bcos_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 36.6079, 0.741584, Sandro2026fev25bcos_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 12.5551, 0.740594, Sandro2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 7.00441, 0.741584, Sandro2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -26.5639, 0.739604, Sandro2026fev25bcos_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 11.2335, 0.740594, Sandro2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 57.7533, 0.739604, Sandro2026fev25bcos_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -36.8722, 0.739604, Sandro2026fev25bcos_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -15.4626, 0.739604, Sandro2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -44.8018, 0.741584, Sandro2026fev25bcos_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 79.4273, 0.740594, Sandro2026fev25bcos_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 48.5022, 0.740594, Sandro2026fev25bcos_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 86.2996, 0.740594, Sandro2026fev25bcos_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 41.1013, 0.740594, Sandro2026fev25bcos_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -20.4846, 0.740594, Sandro2026fev25bcos_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -43.4802, 0.739604, Sandro2026fev25bcos_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 32.1145, 0.740594, Sandro2026fev25bcos_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -26.2996, 0.740594, Sandro2026fev25bcos_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -15.7269, 0.741584, Sandro2026fev25bcos_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 21.2775, 0.740594, Sandro2026fev25bcos_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 37.9295, 0.740594, Sandro2026fev25bcos_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 9.64758, 0.739604, Sandro2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -12.8194, 0.739604, Sandro2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 6.21145, 0.737624, Sandro2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -28.9427, 0.740594, Sandro2026fev25bcos_burstcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 58.5463, 0.739604, Sandro2026fev25bcos_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 88.4141, 0.740594, Sandro2026fev25bcos_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 88.6784, 0.738614, Sandro2026fev25bcos_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 21.8062, 0.737624, Sandro2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -10.4405, 0.740594, Sandro2026fev25bcos_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -48.7665, 0.740594, Sandro2026fev25bcos_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -20.2203, 0.741584, Sandro2026fev25bcos_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -20.2203, 0.739604, Sandro2026fev25bcos_burstcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -4.88987, 0.738614, Sandro2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 41.8943, 0.739604, Sandro2026fev25bcos_burstcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 35.815, 0.740594, Sandro2026fev25bcos_burstcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 18.8987, 0.740594, Sandro2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -24.185, 0.740594, Sandro2026fev25bcos_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -0.660793, 0.742574, Sandro2026fev25bcos_burstcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -27.3568, 0.740594, Sandro2026fev25bcos_burstcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -9.64758, 0.739604, Sandro2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 17.8414, 0.739604, Sandro2026fev25bcos_burstcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, 0.660793, 0.741584, Sandro2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 12.5551, 0.739604, Sandro2026fev25bcos_burstcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 79.6916, 0.737624, Sandro2026fev25bcos_burstcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -16.7841, 0.740594, Sandro2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 58.0176, 0.738614, Sandro2026fev25bcos_burstcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 67.7974, 0.738614, Sandro2026fev25bcos_burstcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -7.00441, 0.740594, Sandro2026fev25bcos_burstcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -30.793, 0.737624, Sandro2026fev25bcos_burstcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
