# verdadeiro, estimado, distancia, estimulo, filtro
-30, -23.0294, 0.720515, Sandro2026fev25blin_burstlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -47.3824, 0.719524, Sandro2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -53.2059, 0.718533, Sandro2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 37.0588, 0.718533, Sandro2026fev25blin_burstlin_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 6.61765, 0.71556, Sandro2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 72.5294, 0.719524, Sandro2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 14.2941, 0.717542, Sandro2026fev25blin_burstlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 79.4118, 0.718533, Sandro2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -61.6765, 0.718533, Sandro2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 63.7941, 0.718533, Sandro2026fev25blin_burstlin_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -14.8235, 0.718533, Sandro2026fev25blin_burstlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -37.8529, 0.719524, Sandro2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -41.2941, 0.717542, Sandro2026fev25blin_burstlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -52.9412, 0.718533, Sandro2026fev25blin_burstlin_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -64.3235, 0.717542, Sandro2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 59.5588, 0.718533, Sandro2026fev25blin_burstlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 88.9412, 0.718533, Sandro2026fev25blin_burstlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -39.1765, 0.717542, Sandro2026fev25blin_burstlin_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 14.2941, 0.718533, Sandro2026fev25blin_burstlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
