# verdadeiro, estimado, distancia, estimulo, filtro
0, -0.530973, 0.840594, Sandro2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 27.8761, 0.840594, Sandro2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -44.3363, 0.837624, Sandro2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 21.7699, 0.839604, Sandro2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 78.3186, 0.840594, Sandro2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -32.3894, 0.836634, Sandro2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 48.0531, 0.840594, Sandro2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.2035, 0.839604, Sandro2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 42.4779, 0.840594, Sandro2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -20.9735, 0.837624, Sandro2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 52.5664, 0.838614, Sandro2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 79.9115, 0.839604, Sandro2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -31.8584, 0.839604, Sandro2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 24.4248, 0.839604, Sandro2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 85.4867, 0.838614, Sandro2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 52.0354, 0.837624, Sandro2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 18.8496, 0.840594, Sandro2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -67.9646, 0.839604, Sandro2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -73.5398, 0.838614, Sandro2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, -22.0354, 0.211881, Sandro2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 32.6549, 0.713861, Sandro2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 83.6283, 0.715842, Sandro2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -37.6991, 0.716832, Sandro2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 10.354, 0.717822, Sandro2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -18.8496, 0.714851, Sandro2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 34.2478, 0.715842, Sandro2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -35.3097, 0.715842, Sandro2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -32.6549, 0.716832, Sandro2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -46.9912, 0.715842, Sandro2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -59.7345, 0.714851, Sandro2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 22.3009, 0.715842, Sandro2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 10.885, 0.715842, Sandro2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 5.30973, 0.714851, Sandro2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -23.8938, 0.714851, Sandro2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -44.8673, 0.717822, Sandro2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 79.9115, 0.713861, Sandro2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 89.2035, 0.716832, Sandro2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -30, 0.716832, Sandro2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 36.6372, 0.716832, Sandro2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -37.1681, 0.715842, Sandro2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 88.9381, 0.715842, Sandro2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 82.3009, 0.716832, Sandro2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 19.9115, 0.716832, Sandro2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 54.4248, 0.716832, Sandro2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 14.6018, 0.717822, Sandro2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 68.2301, 0.716832, Sandro2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 64.2478, 0.715842, Sandro2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -26.2832, 0.714851, Sandro2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 9.29204, 0.330693, Sandro2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -22.8319, 0.714851, Sandro2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -34.5133, 0.714851, Sandro2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 39.823, 0.713861, Sandro2026fev25ccos_contcos_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 72.7434, 0.711881, Sandro2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 43.0088, 0.712871, Sandro2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 66.9027, 0.713861, Sandro2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 66.9027, 0.714851, Sandro2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -25.2212, 0.2, Sandro2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -26.8142, 0.221782, Sandro2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 42.4779, 0.590099, Sandro2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -34.7788, 0.290099, Sandro2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 3.18584, 0.590099, Sandro2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -19.9115, 0.591089, Sandro2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -24.1593, 0.591089, Sandro2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 5.57522, 0.591089, Sandro2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 35.3097, 0.591089, Sandro2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 10.0885, 0.590099, Sandro2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 70.0885, 0.589109, Sandro2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -34.7788, 0.591089, Sandro2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -30.7965, 0.592079, Sandro2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -44.0708, 0.592079, Sandro2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -25.4867, 0.592079, Sandro2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -42.7434, 0.590099, Sandro2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -59.2035, 0.593069, Sandro2026fev25ccos_contcos_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 24.6903, 0.592079, Sandro2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 82.3009, 0.591089, Sandro2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-75, -43.8053, 0.591089, Sandro2026fev25ccos_contcos_-75.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 64.2478, 0.592079, Sandro2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -17.5221, 0.591089, Sandro2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 61.3274, 0.590099, Sandro2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -23.6283, 0.591089, Sandro2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 16.9912, 0.592079, Sandro2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -16.1947, 0.593069, Sandro2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 79.9115, 0.591089, Sandro2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -8.49558, 0.592079, Sandro2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 27.8761, 0.591089, Sandro2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 17.2566, 0.593069, Sandro2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 79.9115, 0.592079, Sandro2026fev25ccos_contcos_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 43.8053, 0.592079, Sandro2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 69.292, 0.591089, Sandro2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 20.4425, 0.591089, Sandro2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -16.4602, 0.591089, Sandro2026fev25ccos_contcos_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 59.7345, 0.592079, Sandro2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 20.708, 0.591089, Sandro2026fev25ccos_contcos_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
60, 60.7965, 0.591089, Sandro2026fev25ccos_contcos_60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -3.9823, 0.591089, Sandro2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 72.7434, 0.592079, Sandro2026fev25ccos_contcos_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 43.5398, 0.592079, Sandro2026fev25ccos_contcos_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 18.0531, 0.592079, Sandro2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 34.2478, 0.591089, Sandro2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
15, 37.1681, 0.590099, Sandro2026fev25ccos_contcos_15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 19.115, 0.590099, Sandro2026fev25ccos_contcos_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -1.32743, 0.592079, Sandro2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-90, -43.8053, 0.591089, Sandro2026fev25ccos_contcos_-90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -22.0354, 0.589109, Sandro2026fev25ccos_contcos_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
