# verdadeiro, estimado, distancia, estimulo, filtro
-15, 35.2863, 0.730159, Sandro2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 66.7401, 0.627976, Sandro2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 65.6828, 0.626984, Sandro2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -31.5859, 0.738095, Sandro2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -43.2159, 0.404762, Sandro2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 56.696, 0.84127, Sandro2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 10.4405, 0.749008, Sandro2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 81.0132, 0.570437, Sandro2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 82.8634, 0.572421, Sandro2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -9.38326, 0.718254, Sandro2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 91.8502, 0.388889, Sandro2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
0, 33.7004, 0.559524, Sandro2026fev25clin_contlin_0.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -8.85463, 0.644841, Sandro2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -25.7709, 0.643849, Sandro2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-45, -39.7797, 0.642857, Sandro2026fev25clin_contlin_-45.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -39.5154, 0.635913, Sandro2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-30, -25.5066, 0.631944, Sandro2026fev25clin_contlin_-30.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -35.815, 0.627976, Sandro2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
-15, 2.2467, 0.44246, Sandro2026fev25clin_contlin_-15.wav, ../filtro_equalizacao_hd_mic_ind.wav
-60, -28.1498, 0.517857, Sandro2026fev25clin_contlin_-60.wav, ../filtro_equalizacao_hd_mic_ind.wav
90, 69.9119, 0.311508, Sandro2026fev25clin_contlin_90.wav, ../filtro_equalizacao_hd_mic_ind.wav
75, 78.37, 0.310516, Sandro2026fev25clin_contlin_75.wav, ../filtro_equalizacao_hd_mic_ind.wav
45, 59.8678, 0.310516, Sandro2026fev25clin_contlin_45.wav, ../filtro_equalizacao_hd_mic_ind.wav
30, 54.0529, 0.47123, Sandro2026fev25clin_contlin_30.wav, ../filtro_equalizacao_hd_mic_ind.wav
