# verdadeiro, estimado, estimulo, filtro
-90, -45.7759, sintetico_ITD-720_ILDzero_-90.wav, None
0, 7.5, sintetico_ITD0_ILDzero_0.wav, None
60, 55.3448, sintetico_ITD480_ILDzero_60.wav, None
-90, -36.2069, sintetico_ITD-720_ILDzero_-90.wav, None
-60, -52.5, sintetico_ITD-480_ILDzero_-60.wav, None
15, 19.3966, sintetico_ITD120_ILDzero_15.wav, None
-60, -37.7586, sintetico_ITD-480_ILDzero_-60.wav, None
-90, -76.0345, sintetico_ITD-720_ILDzero_-90.wav, None
60, 27.6724, sintetico_ITD480_ILDzero_60.wav, None
-30, -27.4138, sintetico_ITD-240_ILDzero_-30.wav, None
-15, -38.0172, sintetico_ITD-120_ILDzero_-15.wav, None
-90, -79.9138, sintetico_ITD-720_ILDzero_-90.wav, None
90, 39.569, sintetico_ITD720_ILDzero_90.wav, None
-45, -18.8793, sintetico_ITD-360_ILDzero_-45.wav, None
15, 23.2759, sintetico_ITD120_ILDzero_15.wav, None
75, 55.6034, sintetico_ITD600_ILDzero_75.wav, None
-15, -16.8103, sintetico_ITD-120_ILDzero_-15.wav, None
-60, -56.3793, sintetico_ITD-480_ILDzero_-60.wav, None
-45, -28.1897, sintetico_ITD-360_ILDzero_-45.wav, None
-90, -61.0345, sintetico_ITD-720_ILDzero_-90.wav, None
75, 45.5172, sintetico_ITD600_ILDzero_75.wav, None
-45, -20.431, sintetico_ITD-360_ILDzero_-45.wav, None
75, 45.2586, sintetico_ITD600_ILDzero_75.wav, None
45, 56.1207, sintetico_ITD360_ILDzero_45.wav, None
90, 76.8103, sintetico_ITD720_ILDzero_90.wav, None
30, 40.8621, sintetico_ITD240_ILDzero_30.wav, None
-15, -18.8793, sintetico_ITD-120_ILDzero_-15.wav, None
-75, -71.3793, sintetico_ITD-600_ILDzero_-75.wav, None
-90, -90, sintetico_ITD-720_ILDzero_-90.wav, None
30, 33.8793, sintetico_ITD240_ILDzero_30.wav, None
-45, -46.2931, sintetico_ITD-360_ILDzero_-45.wav, None
-75, -77.8448, sintetico_ITD-600_ILDzero_-75.wav, None
-45, -75, sintetico_ITD-360_ILDzero_-45.wav, None
0, 19.6552, sintetico_ITD0_ILDzero_0.wav, None
75, 60.7759, sintetico_ITD600_ILDzero_75.wav, None
60, 48.6207, sintetico_ITD480_ILDzero_60.wav, None
15, 25.0862, sintetico_ITD120_ILDzero_15.wav, None
-15, -39.8276, sintetico_ITD-120_ILDzero_-15.wav, None
-45, -66.7241, sintetico_ITD-360_ILDzero_-45.wav, None
-30, -84.0517, sintetico_ITD-240_ILDzero_-30.wav, None
0, -6.98276, sintetico_ITD0_ILDzero_0.wav, None
-75, -73.4483, sintetico_ITD-600_ILDzero_-75.wav, None
-15, -73.1897, sintetico_ITD-120_ILDzero_-15.wav, None
60, 52.7586, sintetico_ITD480_ILDzero_60.wav, None
-15, -49.6552, sintetico_ITD-120_ILDzero_-15.wav, None
-30, -65.431, sintetico_ITD-240_ILDzero_-30.wav, None
-90, -85.3448, sintetico_ITD-720_ILDzero_-90.wav, None
-30, -55.0862, sintetico_ITD-240_ILDzero_-30.wav, None
45, 32.069, sintetico_ITD360_ILDzero_45.wav, None
75, 63.8793, sintetico_ITD600_ILDzero_75.wav, None
15, 43.9655, sintetico_ITD120_ILDzero_15.wav, None
-90, -44.2241, sintetico_ITD-720_ILDzero_-90.wav, None
-45, -49.6552, sintetico_ITD-360_ILDzero_-45.wav, None
-15, -26.8966, sintetico_ITD-120_ILDzero_-15.wav, None
45, 49.1379, sintetico_ITD360_ILDzero_45.wav, None
-60, -42.4138, sintetico_ITD-480_ILDzero_-60.wav, None
-30, -5.68966, sintetico_ITD-240_ILDzero_-30.wav, None
15, 39.0517, sintetico_ITD120_ILDzero_15.wav, None
45, 57.1552, sintetico_ITD360_ILDzero_45.wav, None
-30, -32.3276, sintetico_ITD-240_ILDzero_-30.wav, None
60, 55.8621, sintetico_ITD480_ILDzero_60.wav, None
-60, -40.6034, sintetico_ITD-480_ILDzero_-60.wav, None
-75, -61.0345, sintetico_ITD-600_ILDzero_-75.wav, None
15, 16.0345, sintetico_ITD120_ILDzero_15.wav, None
-45, -45.2586, sintetico_ITD-360_ILDzero_-45.wav, None
90, 49.3966, sintetico_ITD720_ILDzero_90.wav, None
0, -4.13793, sintetico_ITD0_ILDzero_0.wav, None
45, 21.4655, sintetico_ITD360_ILDzero_45.wav, None
-45, -43.1897, sintetico_ITD-360_ILDzero_-45.wav, None
-60, -51.9828, sintetico_ITD-480_ILDzero_-60.wav, None
75, 46.2931, sintetico_ITD600_ILDzero_75.wav, None
-90, -34.3966, sintetico_ITD-720_ILDzero_-90.wav, None
15, 11.1207, sintetico_ITD120_ILDzero_15.wav, None
60, 56.6379, sintetico_ITD480_ILDzero_60.wav, None
-45, -19.9138, sintetico_ITD-360_ILDzero_-45.wav, None
60, 45.7759, sintetico_ITD480_ILDzero_60.wav, None
75, 76.0345, sintetico_ITD600_ILDzero_75.wav, None
30, 66.9828, sintetico_ITD240_ILDzero_30.wav, None
90, 90.7759, sintetico_ITD720_ILDzero_90.wav, None
-15, -3.62069, sintetico_ITD-120_ILDzero_-15.wav, None
