# verdadeiro, estimado, estimulo, filtro
-90, -87.1511, sintetico_ITD-720_ILDzero_-90.wav, None
-60, -71.0935, sintetico_ITD-480_ILDzero_-60.wav, None
15, 19.554, sintetico_ITD120_ILDzero_15.wav, None
45, 58.6619, sintetico_ITD360_ILDzero_45.wav, None
0, -13.8561, sintetico_ITD0_ILDzero_0.wav, None
15, 12.3022, sintetico_ITD120_ILDzero_15.wav, None
0, -13.8561, sintetico_ITD0_ILDzero_0.wav, None
-45, -56.5899, sintetico_ITD-360_ILDzero_-45.wav, None
75, 54.518, sintetico_ITD600_ILDzero_75.wav, None
0, -24.9928, sintetico_ITD0_ILDzero_0.wav, None
-90, -70.8345, sintetico_ITD-720_ILDzero_-90.wav, None
75, 63.8417, sintetico_ITD600_ILDzero_75.wav, None
-30, -28.8777, sintetico_ITD-240_ILDzero_-30.wav, None
-90, -69.7986, sintetico_ITD-720_ILDzero_-90.wav, None
0, -40.7914, sintetico_ITD0_ILDzero_0.wav, None
75, 50.3741, sintetico_ITD600_ILDzero_75.wav, None
-45, -32.2446, sintetico_ITD-360_ILDzero_-45.wav, None
15, 4.27338, sintetico_ITD120_ILDzero_15.wav, None
-90, -57.8849, sintetico_ITD-720_ILDzero_-90.wav, None
15, -0.647482, sintetico_ITD120_ILDzero_15.wav, None
-60, -58.1439, sintetico_ITD-480_ILDzero_-60.wav, None
75, 57.1079, sintetico_ITD600_ILDzero_75.wav, None
60, 48.0432, sintetico_ITD480_ILDzero_60.wav, None
30, 34.0576, sintetico_ITD240_ILDzero_30.wav, None
75, 67.9856, sintetico_ITD600_ILDzero_75.wav, None
-75, -63.5827, sintetico_ITD-600_ILDzero_-75.wav, None
45, 9.97122, sintetico_ITD360_ILDzero_45.wav, None
-30, -31.2086, sintetico_ITD-240_ILDzero_-30.wav, None
0, -32.5036, sintetico_ITD0_ILDzero_0.wav, None
-60, -57.8849, sintetico_ITD-480_ILDzero_-60.wav, None
0, -29.6547, sintetico_ITD0_ILDzero_0.wav, None
30, 37.4245, sintetico_ITD240_ILDzero_30.wav, None
0, -1.94245, sintetico_ITD0_ILDzero_0.wav, None
-30, -29.3957, sintetico_ITD-240_ILDzero_-30.wav, None
60, 45.4532, sintetico_ITD480_ILDzero_60.wav, None
0, 4.53237, sintetico_ITD0_ILDzero_0.wav, None
90, 73.4245, sintetico_ITD720_ILDzero_90.wav, None
-60, -28.8777, sintetico_ITD-480_ILDzero_-60.wav, None
60, 47.7842, sintetico_ITD480_ILDzero_60.wav, None
-45, -26.0288, sintetico_ITD-360_ILDzero_-45.wav, None
-90, -54.777, sintetico_ITD-720_ILDzero_-90.wav, None
90, 57.1079, sintetico_ITD720_ILDzero_90.wav, None
-75, -68.5036, sintetico_ITD-600_ILDzero_-75.wav, None
75, 73.6835, sintetico_ITD600_ILDzero_75.wav, None
-60, -52.1871, sintetico_ITD-480_ILDzero_-60.wav, None
-30, -45.4532, sintetico_ITD-240_ILDzero_-30.wav, None
15, -14.6331, sintetico_ITD120_ILDzero_15.wav, None
30, 20.0719, sintetico_ITD240_ILDzero_30.wav, None
-75, -36.9065, sintetico_ITD-600_ILDzero_-75.wav, None
-60, -36.1295, sintetico_ITD-480_ILDzero_-60.wav, None
45, 50.3741, sintetico_ITD360_ILDzero_45.wav, None
90, 71.0935, sintetico_ITD720_ILDzero_90.wav, None
75, 82.7482, sintetico_ITD600_ILDzero_75.wav, None
-15, -14.8921, sintetico_ITD-120_ILDzero_-15.wav, None
90, 78.3453, sintetico_ITD720_ILDzero_90.wav, None
15, 23.6978, sintetico_ITD120_ILDzero_15.wav, None
60, 62.5468, sintetico_ITD480_ILDzero_60.wav, None
-30, -33.2806, sintetico_ITD-240_ILDzero_-30.wav, None
-75, -58.9209, sintetico_ITD-600_ILDzero_-75.wav, None
60, 65.9137, sintetico_ITD480_ILDzero_60.wav, None
-75, -60.2158, sintetico_ITD-600_ILDzero_-75.wav, None
-45, -43.8993, sintetico_ITD-360_ILDzero_-45.wav, None
60, 52.1871, sintetico_ITD480_ILDzero_60.wav, None
90, 80.6763, sintetico_ITD720_ILDzero_90.wav, None
-45, -32.5036, sintetico_ITD-360_ILDzero_-45.wav, None
0, -19.8129, sintetico_ITD0_ILDzero_0.wav, None
-75, -56.5899, sintetico_ITD-600_ILDzero_-75.wav, None
-15, -33.5396, sintetico_ITD-120_ILDzero_-15.wav, None
45, 57.6259, sintetico_ITD360_ILDzero_45.wav, None
-75, -71.0935, sintetico_ITD-600_ILDzero_-75.wav, None
30, -2.20144, sintetico_ITD240_ILDzero_30.wav, None
-30, -33.7986, sintetico_ITD-240_ILDzero_-30.wav, None
-15, -34.5755, sintetico_ITD-120_ILDzero_-15.wav, None
-30, -42.0863, sintetico_ITD-240_ILDzero_-30.wav, None
30, 10.4892, sintetico_ITD240_ILDzero_30.wav, None
60, 42.6043, sintetico_ITD480_ILDzero_60.wav, None
-60, -49.3381, sintetico_ITD-480_ILDzero_-60.wav, None
-90, -74.7194, sintetico_ITD-720_ILDzero_-90.wav, None
-15, -50.8921, sintetico_ITD-120_ILDzero_-15.wav, None
-45, -78.6043, sintetico_ITD-360_ILDzero_-45.wav, None
90, 82.7482, sintetico_ITD720_ILDzero_90.wav, None
0, 22.6619, sintetico_ITD0_ILDzero_0.wav, None
45, 52.705, sintetico_ITD360_ILDzero_45.wav, None
-15, -3.23741, sintetico_ITD-120_ILDzero_-15.wav, None
15, 13.3381, sintetico_ITD120_ILDzero_15.wav, None
-45, -19.554, sintetico_ITD-360_ILDzero_-45.wav, None
-75, -78.3453, sintetico_ITD-600_ILDzero_-75.wav, None
90, 80.1583, sintetico_ITD720_ILDzero_90.wav, None
-30, -39.7554, sintetico_ITD-240_ILDzero_-30.wav, None
-45, -60.2158, sintetico_ITD-360_ILDzero_-45.wav, None
30, 1.42446, sintetico_ITD240_ILDzero_30.wav, None
