# verdadeiro, estimado, estimulo, filtro
-90, -59.5265, sintetico_ITD-720_ILDzero_-90.wav, None
60, 41.1908, sintetico_ITD480_ILDzero_60.wav, None
-90, -44.0316, sintetico_ITD-720_ILDzero_-90.wav, None
90, 51.7791, sintetico_ITD720_ILDzero_90.wav, None
60, 50.4878, sintetico_ITD480_ILDzero_60.wav, None
-75, -31.8938, sintetico_ITD-600_ILDzero_-75.wav, None
15, 10.7174, sintetico_ITD120_ILDzero_15.wav, None
-60, -23.3716, sintetico_ITD-480_ILDzero_-60.wav, None
15, 37.3171, sintetico_ITD120_ILDzero_15.wav, None
45, 40.6743, sintetico_ITD360_ILDzero_45.wav, None
75, 52.8121, sintetico_ITD600_ILDzero_75.wav, None
-90, -52.5538, sintetico_ITD-720_ILDzero_-90.wav, None
75, 33.4433, sintetico_ITD600_ILDzero_75.wav, None
-45, -21.8221, sintetico_ITD-360_ILDzero_-45.wav, None
90, 37.0588, sintetico_ITD720_ILDzero_90.wav, None
-45, -36.5423, sintetico_ITD-360_ILDzero_-45.wav, None
30, 15.1076, sintetico_ITD240_ILDzero_30.wav, None
60, 32.9268, sintetico_ITD480_ILDzero_60.wav, None
-45, -31.6356, sintetico_ITD-360_ILDzero_-45.wav, None
-75, -42.7403, sintetico_ITD-600_ILDzero_-75.wav, None
0, -8.90961, sintetico_ITD0_ILDzero_0.wav, None
-75, -29.3113, sintetico_ITD-600_ILDzero_-75.wav, None
90, 28.0201, sintetico_ITD720_ILDzero_90.wav, None
-30, -9.94261, sintetico_ITD-240_ILDzero_-30.wav, None
45, 37.3171, sintetico_ITD360_ILDzero_45.wav, None
15, 14.5911, sintetico_ITD120_ILDzero_15.wav, None
-90, -45.3228, sintetico_ITD-720_ILDzero_-90.wav, None
-30, -30.3443, sintetico_ITD-240_ILDzero_-30.wav, None
-45, -44.8063, sintetico_ITD-360_ILDzero_-45.wav, None
0, 14.3329, sintetico_ITD0_ILDzero_0.wav, None
60, 36.8006, sintetico_ITD480_ILDzero_60.wav, None
90, 49.9713, sintetico_ITD720_ILDzero_90.wav, None
75, 43.2568, sintetico_ITD600_ILDzero_75.wav, None
30, 27.7618, sintetico_ITD240_ILDzero_30.wav, None
